"sample","latitude","longitude","date","site","location","depth","successful.count","broad.consolidated","broad.hydroids","broad.invertebrate.complex","broad.octocoral.black","broad.sponges","broad.substrate.unconsolidated.soft.","broad.unconsolidated","broad.total.points.annotated","mean.relief","sd.relief"
"1",-22.6886,113.5539,20210520,"inNP.1","Point Cloates",93.6,"Yes",0,0,1,0,1,0,57,59,0.292682926829268,0.512049921346757
"2",-22.6987,113.5214,20210520,"inNP.2","Point Cloates",167,"Yes",0,0,0,1,0,0,49,50,0.333333333333333,0.479463301485384
"4",-22.7113,113.5415,20210520,"inNP.4","Point Cloates",100,"Yes",0,0,0,2,2,0,58,62,0.414634146341463,0.546608166610121
"7",-22.7462,113.5314,20210520,"inNP.7","Point Cloates",99.6,"Yes",0,0,5,0,0,0,43,48,0.0512820512820513,0.223455865030959
"9",-22.6937,113.5389,20210520,"inNP.9","Point Cloates",114,"Yes",0,1,10,6,22,0,13,52,1.55,0.638507875982989
"10",-22.6887,113.5238,20210520,"inNP.10","Point Cloates",176,"Yes",0,0,0,0,0,0,62,62,0,0
"12",-22.7137,113.5364,20210520,"inNP.12","Point Cloates",107,"Yes",0,1,7,3,16,0,31,58,0.975,0.35716117169158
"13",-22.7037,113.5389,20210520,"inNP.13","Point Cloates",107,"Yes",0,3,1,8,8,0,38,58,0.775,0.53048115556564
"15",-22.7037,113.5188,20210520,"inNP.15","Point Cloates",168,"Yes",0,0,2,2,0,0,52,56,0.393939393939394,0.496197663448873
"18",-22.6838,113.5489,20210520,"inNP.18","Point Cloates",102,"Yes",0,0,5,19,6,0,24,54,1.30769230769231,1.02991686312016
"19",-22.7314,113.5313,20210520,"inNP.19","Point Cloates",106,"Yes",0,2,4,5,13,0,28,52,0.945945945945946,0.704980139434436
"20",-22.7187,113.5265,20210520,"inNP.20","Point Cloates",120,"Yes",0,0,2,7,9,0,36,54,1,0.338061701891407
"21",-22.6963,113.544,20210520,"inNP.21","Point Cloates",103,"Yes",0,0,0,7,7,0,41,55,0.782608695652174,0.629392775379955
"22",-22.7438,113.5337,20210520,"inNP.22","Point Cloates",96.4,"Yes",0,0,1,2,0,0,55,58,0.184210526315789,0.392859452063192
"24",-22.7113,113.5088,20210520,"inNP.24","Point Cloates",189,"Yes",0,0,0,0,0,0,53,53,0.025,0.158113883008419
"25",-22.7262,113.4913,20210520,"outNP.1","Point Cloates",208,"Yes",0,0,0,0,0,0,57,57,0,0
"26",-22.7388,113.5089,20210520,"outNP.2","Point Cloates",152,"Yes",0,0,1,1,3,0,43,48,0.236842105263158,0.489578446703416
"27",-22.7635,113.4964,20210519,"outNP.3","Point Cloates",162,"Yes",0,0,0,0,0,0,60,60,0,0
"28",-22.7585,113.4762,20210519,"outNP.4","Point Cloates",206,"Yes",0,0,0,0,0,0,43,43,0,0
"29",-22.7758,113.494,20210519,"outNP.5","Point Cloates",152,"Yes",0,0,1,1,5,0,46,53,0.583333333333333,0.554204706893452
"30",-22.7887,113.4839,20210519,"outNP.6","Point Cloates",169,"Yes",0,1,2,0,0,0,50,53,0.0571428571428571,0.235504107976803
"31",-22.7936,113.5041,20210519,"outNP.7","Point Cloates",116,"Yes",0,0,3,4,11,0,29,47,1.25,0.493548116792825
"32",-22.7537,113.4863,20210519,"outNP.8","Point Cloates",194,"Yes",0,0,0,0,0,0,35,35,0,0
"33",-22.7163,113.4963,20210520,"outNP.9","Point Cloates",207,"Yes",0,0,0,0,0,0,48,48,0,0
"34",-22.7662,113.4889,20210519,"outNP.10","Point Cloates",179,"Yes",0,0,2,2,1,0,43,48,0.1,0.3038218101251
"36",-22.7564,113.4711,20210519,"outNP.12","Point Cloates",215,"Yes",0,0,0,0,0,0,32,32,0,0
"37",-22.7836,113.4886,20210519,"outNP.13","Point Cloates",156,"Yes",0,0,0,0,0,0,49,49,0.0588235294117647,0.238832573610613
"39",-22.7938,113.4843,20210519,"outNP.15","Point Cloates",156,"Yes",0,1,1,2,2,0,46,52,0.354838709677419,0.48637345711392
"40",-22.7809,113.4964,20210519,"outNP.16","Point Cloates",138,"Yes",0,1,2,0,5,0,43,51,0.594594594594595,0.643750273331526
"42",-22.7887,113.4764,20210519,"outNP.18","Point Cloates",184,"Yes",0,0,0,0,0,0,47,47,0.025,0.158113883008419
"43",-22.7587,113.4991,20210519,"outNP.19","Point Cloates",160,"Yes",0,0,0,0,0,0,60,60,0,0
"44",-22.7912,113.5064,20210519,"outNP.20","Point Cloates",114,"Yes",0,0,6,4,14,0,25,49,1.08571428571429,0.445330582523918
"45",-22.7512,113.4889,20210519,"outNP.21","Point Cloates",191,"Yes",0,0,0,0,0,0,50,50,0,0
"46",-22.7463,113.5214,20210520,"outNP.22","Point Cloates",113,"Yes",0,0,2,3,7,0,31,43,0.6875,0.535061045658012
"47",-22.7637,113.4839,20210519,"outNP.23","Point Cloates",190,"Yes",0,0,0,0,0,0,50,50,0,0
"48",-22.7712,113.4688,20210519,"outNP.24","Point Cloates",208,"Yes",0,0,0,0,0,0,58,58,0,0
"49",-22.7986,113.4864,20210519,"outNP.25","Point Cloates",148,"Yes",0,0,2,1,2,0,33,38,0.314285714285714,0.471008215953606
"50",-22.7026,113.556,20210520,NA,"Point Cloates",77.6,"Yes",0,0,6,11,20,0,15,52,1.88372093023256,0.956414492869353
"M1",-22.7228,113.4986,20210520,NA,"Point Cloates",197,"Yes",0,0,0,2,0,0,54,56,0.0666666666666667,0.253708131702462
"248",-22.7609,113.5473,20220519,NA,NA,76.6,"Yes",0,0,0,0,0,0,78,78,0,0
"224",-22.7598,113.5487,20220519,NA,NA,76.1,"Yes",0,0,0,0,0,0,74,74,0,0
"232",-22.7576,113.5368,20220519,NA,NA,90.9,"Yes",0,0,3,4,1,0,66,74,0.181818181818182,0.474962341232677
"211",-22.7554,113.54,20220519,NA,NA,87.2,"Yes",0,0,2,2,2,0,73,79,0.125,0.333711906235957
