"sample","latitude","longitude","date","site","location","depth","successful.count","campaignid","broad.bryozoa","broad.hydroids","broad.invertebrate.complex","broad.octocoral.black","broad.sponges","broad.unconsolidated","broad.total.points.annotated","mean.relief","sd.relief"
"17",-22.7757,113.5195,20210518,"outNP.5","Point Cloates",104,"Yes","2021-05_PtCloates_stereo-BRUVS",0,1,5,2,5,8,21,1.26315789473684,0.805681579172283
"22",-22.7812,113.4964,20210518,"outNP.10","Point Cloates",138,"Yes","2021-05_PtCloates_stereo-BRUVS",0,0,6,1,4,17,28,1.05263157894737,0.779863535820802
"25",-22.7937,113.4939,20210518,"outNP.13","Point Cloates",135,"Yes","2021-05_PtCloates_stereo-BRUVS",0,2,1,1,2,24,30,0.684210526315789,0.582392725357819
"15",-22.7461,113.5138,20210518,"outNP.3","Point Cloates",130,"Yes","2021-05_PtCloates_stereo-BRUVS",0,0,3,2,6,17,28,0.85,0.670820393249937
"7",-22.7287,113.5365,20210518,"inNP.7","Point Cloates",100,"Yes","2021-05_PtCloates_stereo-BRUVS",0,0,3,0,0,32,35,0.15,0.366347548532523
"13",-22.7963,113.5041,20210518,"outNP.1","Point Cloates",116,"Yes","2021-05_PtCloates_stereo-BRUVS",3,1,6,6,4,12,32,1.45,0.825577947481897
"12",-22.7262,113.5214,20210518,"inNP.12","Point Cloates",126,"Yes","2021-05_PtCloates_stereo-BRUVS",0,3,3,1,4,17,28,0.944444444444444,0.53930480546961
"16",-22.7812,113.5115,20210518,"outNP.4","Point Cloates",111,"Yes","2021-05_PtCloates_stereo-BRUVS",0,2,4,2,3,24,35,1.0952380952381,0.943650459903555
"21",-22.7563,113.5189,20210518,"outNP.9","Point Cloates",112,"Yes","2021-05_PtCloates_stereo-BRUVS",0,0,4,6,3,9,22,1.28571428571429,0.643650304346789
"6",-22.721,113.5465,20210518,"inNP.6","Point Cloates",88.5,"Yes","2021-05_PtCloates_stereo-BRUVS",0,0,0,2,0,27,29,0.125,0.337831962346088
