"name","armean","n","sd","se"
"Acanthurus olivaceus",2.08405795097351,5,0.347093242812298,0.155224817091828
"Acanthurus olivaceus",2.08405795097351,5,0.347093242812298,0.155224817091828
"Acanthurus olivaceus",2.08405795097351,5,0.347093242812298,0.155224817091828
"Acanthurus olivaceus",2.08405795097351,5,0.347093242812298,0.155224817091828
"Acanthurus xanthopterus",1.99968997637431,3,0.412586072703107,0.238206680139029
"Acanthurus xanthopterus",1.99968997637431,3,0.412586072703107,0.238206680139029
"Acanthurus xanthopterus",1.99968997637431,3,0.412586072703107,0.238206680139029
"Acanthurus xanthopterus",1.99968997637431,3,0.412586072703107,0.238206680139029
"Anampses caeruleopunctatus",1.54439997673035,1,NA,NA
"Anampses geographicus",1.54083997011185,2,0.379956789605105,0.26867002248764
"Anampses geographicus",1.54083997011185,2,0.379956789605105,0.26867002248764
"Anampses geographicus",1.54083997011185,2,0.379956789605105,0.26867002248764
"Anampses geographicus",1.54083997011185,2,0.379956789605105,0.26867002248764
"Anampses geographicus",1.54083997011185,2,0.379956789605105,0.26867002248764
"Aptychotrema vincentiana",NA,NA,NA,NA
"Austrolabrus maculatus",NA,NA,NA,NA
"Bodianus bilunulatus",1.53383499383926,2,0.0834314567949522,0.0589949488639831
"Bodianus bilunulatus",1.53383499383926,2,0.0834314567949522,0.0589949488639831
"Bodianus bilunulatus",1.53383499383926,2,0.0834314567949522,0.0589949488639831
"Bodianus bilunulatus",1.53383499383926,2,0.0834314567949522,0.0589949488639831
"Bodianus solatus",NA,NA,NA,NA
"Bodianus solatus",NA,NA,NA,NA
"Bodianus solatus",NA,NA,NA,NA
"Bodianus solatus",NA,NA,NA,NA
"Bodianus solatus",NA,NA,NA,NA
"Bodianus spp",NA,NA,NA,NA
"Bodianus vulpinus",1.34079498052597,2,0.221685089615662,0.156755030155182
"Carangoides fulvoguttatus",4.77175498008728,2,0.647193855916553,0.457635164260864
"Carangoides spp",NA,NA,NA,NA
"Carangoides spp",NA,NA,NA,NA
"Carangoides spp",NA,NA,NA,NA
"Carangoides spp",NA,NA,NA,NA
"Carangoides spp",NA,NA,NA,NA
"Carangoides spp",NA,NA,NA,NA
"Carcharhinus plumbeus",3.17827498912811,2,0.469653291137505,0.33209502696991
"Carcharhinus plumbeus",3.17827498912811,2,0.469653291137505,0.33209502696991
"Carcharhinus spp",NA,NA,NA,NA
"Chaetodon assarius",2.87667989730835,1,NA,NA
"Chaetodon assarius",2.87667989730835,1,NA,NA
"Chaetodon assarius",2.87667989730835,1,NA,NA
"Chaetodon assarius",2.87667989730835,1,NA,NA
"Chaetodon assarius",2.87667989730835,1,NA,NA
"Chaetodon assarius",2.87667989730835,1,NA,NA
"Chaetodon assarius",2.87667989730835,1,NA,NA
"Chaetodon assarius",2.87667989730835,1,NA,NA
"Chaetodon assarius",2.87667989730835,1,NA,NA
"Chaetodon auriga",2.42989993095398,2,0.257924214370784,0.182379961013794
"Chaetodon auriga",2.42989993095398,2,0.257924214370784,0.182379961013794
"Chaetodon lunula",2.38274002075195,2,0.0641063681094341,0.0453300476074219
"Chaetodon lunula",2.38274002075195,2,0.0641063681094341,0.0453300476074219
"Chaetodontoplus personifer",1.81692004203796,1,NA,NA
"Chaetodontoplus personifer",1.81692004203796,1,NA,NA
"Chaetodontoplus personifer",1.81692004203796,1,NA,NA
"Chaetodontoplus personifer",1.81692004203796,1,NA,NA
"Cheilodactylus gibbosus",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Choerodon rubescens",NA,NA,NA,NA
"Chromis spp",NA,NA,NA,NA
"Chromis spp",NA,NA,NA,NA
"Chromis spp",NA,NA,NA,NA
"Chromis spp",NA,NA,NA,NA
"Chromis spp",NA,NA,NA,NA
"Chromis spp",NA,NA,NA,NA
"Chromis spp",NA,NA,NA,NA
"Chromis spp",NA,NA,NA,NA
"Chromis spp",NA,NA,NA,NA
"Chromis spp",NA,NA,NA,NA
