family,genus,species,name,n,totalfish
Carangidae,Seriola,hippos,Seriola hippos,2,4
Carangidae,Unknown,sp10,Unknown sp10,1,1
Chaetodontidae,Chaetodon,assarius,Chaetodon assarius,4,8
Cirrhitidae,Paracirrhites,forsteri,Paracirrhites forsteri,1,2
Echeneidae,Unknown,spp,Unknown spp,1,1
Ginglymostomatidae,Nebrius,ferrugineus,Nebrius ferrugineus,1,1
Glaucosomatidae,Glaucosoma,hebraicum,Glaucosoma hebraicum,1,1
Labridae,Anampses,geographicus,Anampses geographicus,8,13
Labridae,Austrolabrus,maculatus,Austrolabrus maculatus,6,9
Labridae,Choerodon,rubescens,Choerodon rubescens,11,18
Labridae,Coris,auricularis,Coris auricularis,18,207
Labridae,Coris,caudimacula,Coris caudimacula,4,6
Labridae,Labroides,dimidiatus,Labroides dimidiatus,1,1
Labridae,Notolabrus,parilus,Notolabrus parilus,1,1
Labridae,Pseudojuloides,elongatus,Pseudojuloides elongatus,1,1
Labridae,Suezichthys,cyanolaemus,Suezichthys cyanolaemus,14,22
Labridae,Unknown,sp3,Unknown sp3,2,2
Labridae,Unknown,spp,Unknown spp,10,11
Lethrinidae,Lethrinus,miniatus,Lethrinus miniatus,11,42
Lethrinidae,Lethrinus,nebulosus,Lethrinus nebulosus,1,1
Lethrinidae,Lethrinus,spp,Lethrinus spp,2,4
Lutjanidae,Lutjanus,sp10,Lutjanus sp10,1,1
Mullidae,Parupeneus,chrysopleuron,Parupeneus chrysopleuron,2,4
Mullidae,Parupeneus,spilurus,Parupeneus spilurus,8,24
Nemipteridae,Pentapodus,nagasakiensis,Pentapodus nagasakiensis,4,12
Pempherididae,Pempheris,klunzingeri,Pempheris klunzingeri,1,2
Pinguipedidae,Parapercis,spp,Parapercis spp,3,4
Platycephalidae,Platycephalus,spp,Platycephalus spp,1,1
Pomacanthidae,Apolemichthys,trimaculatus,Apolemichthys trimaculatus,1,1
Pomacanthidae,Chaetodontoplus,personifer,Chaetodontoplus personifer,1,2
Pomacentridae,Chromis,spp,Chromis spp,10,486
Scaridae,Scarus,chameleon,Scarus chameleon,1,2
Scaridae,Scarus,sp3,Scarus sp3,3,9
Scaridae,Scarus,spp,Scarus spp,1,1
Scorpididae,Neatypus,obliquus,Neatypus obliquus,1,40
Scorpididae,Scorpis,georgiana,Scorpis georgiana,1,1
Serranidae,Epinephelus,rivulatus,Epinephelus rivulatus,1,1
Serranidae,Plectropomus,spp,Plectropomus spp,1,1
Serranidae,Pseudanthias,spp,Pseudanthias spp,1,17
Sparidae,Chrysophrys,auratus,Chrysophrys auratus,3,5
Tetraodontidae,Unknown,spp,Unknown spp,2,3
