family,genus,species,name,n,totalfish
Acanthuridae,Acanthurus,olivaceus,Acanthurus olivaceus,1,4
Acanthuridae,Acanthurus,xanthopterus,Acanthurus xanthopterus,1,4
Apogonidae,Ostorhinchus,angustatus,Ostorhinchus angustatus,1,1
Apogonidae,Ostorhinchus,spp,Ostorhinchus spp,3,6
Ariidae,Netuma,thalassina,Netuma thalassina,1,1
Carangidae,Carangoides,fulvoguttatus,Carangoides fulvoguttatus,1,1
Carangidae,Carangoides,spp,Carangoides spp,1,6
Carangidae,Seriola,dumerili,Seriola dumerili,3,7
Carangidae,Seriola,hippos,Seriola hippos,10,12
Carangidae,Unknown,spp,Unknown spp,1,1
Carcharhinidae,Carcharhinus,plumbeus,Carcharhinus plumbeus,2,2
Carcharhinidae,Carcharhinus,spp,Carcharhinus spp,1,1
Carcharhinidae,Galeocerdo,cuvier,Galeocerdo cuvier,1,1
Chaetodontidae,Chaetodon,assarius,Chaetodon assarius,5,9
Chaetodontidae,Chaetodon,auriga,Chaetodon auriga,1,2
Chaetodontidae,Chaetodon,lunula,Chaetodon lunula,1,2
Cheilodactylidae,Cheilodactylus,gibbosus,Cheilodactylus gibbosus,1,1
Cirrhitidae,Paracirrhites,forsteri,Paracirrhites forsteri,2,2
Dasyatidae,Taeniurops,meyeni,Taeniurops meyeni,1,1
Echeneidae,Echeneis,naucrates,Echeneis naucrates,1,1
Echeneidae,Unknown,spp,Unknown spp,1,1
Haemulidae,Diagramma,pictum,Diagramma pictum labiosum,6,18
Labridae,Anampses,caeruleopunctatus,Anampses caeruleopunctatus,1,1
Labridae,Anampses,geographicus,Anampses geographicus,2,5
Labridae,Austrolabrus,maculatus,Austrolabrus maculatus,1,1
Labridae,Bodianus,bilunulatus,Bodianus bilunulatus,2,4
Labridae,Bodianus,solatus,Bodianus solatus,4,5
Labridae,Bodianus,spp,Bodianus spp,1,1
Labridae,Bodianus,vulpinus,Bodianus vulpinus,1,1
Labridae,Choerodon,rubescens,Choerodon rubescens,12,28
Labridae,Coris,auricularis,Coris auricularis,13,571
Labridae,Coris,caudimacula,Coris caudimacula,1,1
Labridae,Labroides,dimidiatus,Labroides dimidiatus,4,8
Labridae,Stethojulis,sp,Stethojulis sp,1,1
Labridae,Suezichthys,cyanolaemus,Suezichthys cyanolaemus,9,18
Labridae,Thalassoma,lutescens,Thalassoma lutescens,1,2
Labridae,Unknown,sp,Unknown sp,1,1
Labridae,Unknown,sp1,Unknown sp1,2,2
Labridae,Unknown,spp,Unknown spp,3,7
Lethrinidae,Lethrinus,miniatus,Lethrinus miniatus,11,46
Lethrinidae,Lethrinus,nebulosus,Lethrinus nebulosus,10,25
Lethrinidae,Lethrinus,ravus,Lethrinus ravus,1,4
Monacanthidae,Nelusetta,ayraud,Nelusetta ayraud,2,2
Monacanthidae,Unknown,sp1,Unknown sp1,1,1
Monacanthidae,Unknown,spp,Unknown spp,1,1
Mullidae,Parupeneus,spilurus,Parupeneus spilurus,10,29
Muraenidae,Gymnothorax,woodwardi,Gymnothorax woodwardi,4,4
Nemipteridae,Pentapodus,nagasakiensis,Pentapodus nagasakiensis,5,15
Nemipteridae,Pentapodus,spp,Pentapodus spp,1,1
Orectolobidae,Orectolobus,hutchinsi,Orectolobus hutchinsi,1,1
Pempherididae,Pempheris,tominagai,Pempheris tominagai,1,7
Pinguipedidae,Parapercis,haackei,Parapercis haackei,1,1
Pinguipedidae,Parapercis,nebulosa,Parapercis nebulosa,2,2
Pinguipedidae,Parapercis,spp,Parapercis spp,1,1
Pomacanthidae,Chaetodontoplus,personifer,Chaetodontoplus personifer,2,4
Pomacanthidae,Pomacanthus,semicirculatus,Pomacanthus semicirculatus,1,1
Pomacentridae,Chromis,spp,Chromis spp,8,584
Pomacentridae,Parma,occidentalis,Parma occidentalis,1,1
Rhinidae,Rhynchobatus,australiae,Rhynchobatus australiae,1,1
Scaridae,Scarus,ghobban,Scarus ghobban,1,5
Scaridae,Scarus,sp3,Scarus sp3,2,4
Scaridae,Scarus,spp,Scarus spp,3,4
Scombridae,Scomberomorus,spp,Scomberomorus spp,2,7
Serranidae,Epinephelus,rivulatus,Epinephelus rivulatus,3,3
Siganidae,Siganus,argenteus,Siganus argenteus,1,5
Siganidae,Siganus,punctatus,Siganus punctatus,1,2
Sparidae,Chrysophrys,auratus,Chrysophrys auratus,11,73
Sphyrnidae,Sphyrna,lewini,Sphyrna lewini,1,1
Tetraodontidae,Lagocephalus,sceleratus,Lagocephalus sceleratus,5,9
Tetraodontidae,Torquigener,sp10,Torquigener sp10,1,2
Tetraodontidae,Unknown,spp,Unknown spp,1,1
Triakidae,Mustelus,spp,Mustelus spp,3,3
Trygonorrhinidae,Aptychotrema,vincentiana,Aptychotrema vincentiana,1,1
Urolophidae,Unknown,spp,Unknown spp,1,1
Zanclidae,Zanclus,cornutus,Zanclus cornutus,1,2
