"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","z","reef","tpi","aspect","roughness","detrended","cumsum.wi"
"Labridae Choerodon rubescens_BOSS","tpi+z",41.9318189006655,50.7364758963778,0.19875,NA,3.89,0,0,0,0.623,0.376,1,0,1,0,0,0,0.623
"Labridae Coris auricularis_BOSS","z",163.710609482371,171.297154906897,0.11921,NA,2.79,0,0,0,0.796,0.874,1,0,0,0,0,0,0.796
"Labridae Suezichthys cyanolaemus_BOSS","z",119.01054854781,126.631991053655,0.0973,NA,2.87,0,0,0,0.85,0.933,1,0,0,0,0,0,0.85
"Lethrinidae Lethrinus miniatus_BOSS","z",87.7815315759126,95.4056312336902,0.03365,NA,2.88,0,0,0,0.581,0.593,1,0,0,0,0,0,0.581
"Labridae Choerodon rubescens_BRUV","z",59.3314389873565,61.8930931208504,0.28053,NA,2.86,0,0,0,0.737,0.595,1,0,0,0,0,0,0.737
"Labridae Coris auricularis_BRUV.reef+tpi","reef+tpi",139.353089877449,141.910001153906,0.26389,NA,3,0,0,0,0.44,0.436,0,1,1,0,0,0,0.44
"Labridae Coris auricularis_BRUV.reef","reef",140.258357167214,142.865340126717,0.23937,NA,2,0,0.905,0.955,0.28,0.27,0,1,0,0,0,0,0.72
"Labridae Suezichthys cyanolaemus_BRUV","aspect+reef",40.7332226524336,42.0139627915112,0.31558,NA,4.76,0,0,0,0.994,0.996,0,1,0,1,0,0,0.994
"Lethrinidae Lethrinus miniatus_BRUV.z","z",70.2893164773429,72.876244024186,0.3495,NA,2.61,0,0,0,0.34,0.285,1,0,0,0,0,0,0.34
"Lethrinidae Lethrinus miniatus_BRUV.aspect+reef","aspect+reef",70.9438438367639,73.0869274503166,0.44776,NA,3.84,0,0.655,0.211,0.245,0.256,0,1,0,1,0,0,0.585
"Lethrinidae Lethrinus miniatus_BRUV.reef","reef",71.3284812385045,73.9354370474822,0.3602,NA,2,0,1.039,1.059,0.202,0.168,0,1,0,0,0,0,0.787
