"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","z","reef","tpi","aspect","roughness","detrended","cumsum.wi"
"Labridae Choerodon rubescens_BOSS.tpi+z","tpi+z",41.9318181668451,50.7364751625716,0.19875,NA,3.89,0,0,1.683,0.464,0.235,1,0,1,0,0,0,0.464
"Labridae Choerodon rubescens_BOSS.reef","reef",42.7142535609675,49.0532117944764,0.22384,NA,2,0,0.782,0,0.314,0.546,0,1,0,0,0,0,0.778
"Labridae Coris auricularis_BOSS","z",163.710609482371,171.297154906897,0.11921,NA,2.79,0,0,0,0.796,0.874,1,0,0,0,0,0,0.796
"Labridae Suezichthys cyanolaemus_BOSS","z",119.01054854781,126.631991053655,0.0973,NA,2.87,0,0,0,0.85,0.933,1,0,0,0,0,0,0.85
"Lethrinidae Lethrinus miniatus_BOSS","z",87.7815315759126,95.4056312336902,0.03365,NA,2.88,0,0,0,0.705,0.758,1,0,0,0,0,0,0.705
"Labridae Choerodon rubescens_BRUV","z",59.3314389873565,61.8930931208504,0.28053,NA,2.86,0,0,0,0.811,0.756,1,0,0,0,0,0,0.811
"Labridae Coris auricularis_BRUV.z","z",141.669112403775,144.230759688532,0.17547,NA,2.86,0,0,0,0.646,0.633,1,0,0,0,0,0,0.646
"Labridae Coris auricularis_BRUV.reef","reef",143.460372508528,146.027009564172,0.21741,NA,2.79,0,1.791,1.796,0.264,0.258,0,1,0,0,0,0,0.91
"Labridae Suezichthys cyanolaemus_BRUV.aspect+roughness","aspect+roughness",51.1792144484016,53.2108956300686,0.18117,NA,3.74,0,0,0,0.469,0.51,0,0,0,1,1,0,0.469
"Labridae Suezichthys cyanolaemus_BRUV.roughness+tpi","roughness+tpi",52.1967006297882,54.3997566371477,0.12946,NA,3.65,0,1.017,1.189,0.282,0.281,0,0,1,0,1,0,0.751
"Labridae Suezichthys cyanolaemus_BRUV.aspect+tpi","aspect+tpi",52.681597968626,55.2385217319304,0.11048,NA,3,0,1.502,2.028,0.221,0.185,0,0,1,1,0,0,0.972
"Lethrinidae Lethrinus miniatus_BRUV","z",70.2893164773429,72.876244024186,0.3495,NA,2.61,0,0,0,0.627,0.527,1,0,0,0,0,0,0.627
"Mullidae Parupeneus spilurus_BRUV","aspect+detrended",40.895085187556,42.3346845290696,0.16862,NA,4.41,0,0,0,0.989,0.993,0,0,0,1,0,1,0.989
