"","z","reef","tpi","mean.relief","sd.relief","roughness","detrended"
"Labridae Choerodon rubescens_BOSS",0.039,0.129,0.376,0.793,0.035,0,0
"Labridae Coris auricularis_BOSS",0.682,0.104,0.172,0.017,0.178,0,0
"Labridae Suezichthys cyanolaemus_BOSS",0,0,0.296,0,1,0,1
"Lethrinidae Lethrinus miniatus_BOSS",0,1,0.388,0,1,0,0
"Mullidae Parupeneus spilurus_BOSS",0.266,0.051,0.17,0.563,0.066,0.007,0.011
"Labridae Choerodon rubescens_BRUV",0.998,0,0,0,0.315,0,0.002
"Labridae Coris auricularis_BRUV",0.502,0.328,0.105,0,0.265,0.065,0.002
"Labridae Suezichthys cyanolaemus_BRUV",0.02,0,0.14,0.98,0.02,0,0
"Lethrinidae Lethrinus miniatus_BRUV",0.322,0.425,0.093,0.005,0.225,0.172,0.003
"Mullidae Parupeneus spilurus_BRUV",0.016,0.003,0.003,0,0.996,0,0.98
