"","z","sand","rock","inverts","macroalgae","kelps","mean.relief","sd.relief","reef","aspect","tpi","roughness","detrended"
"z",1,0.7,-0.35,-0.01,-0.57,-0.2,-0.71,-0.15,-0.7,0.34,-0.16,-0.4,-0.6
"sand",0.7,1,-0.39,-0.38,-0.56,-0.27,-0.83,-0.25,-1,0.23,-0.13,-0.38,-0.53
"rock",-0.35,-0.39,1,-0.25,-0.07,-0.08,0.02,0.06,0.39,-0.35,-0.05,0.06,0.14
"inverts",-0.01,-0.38,-0.25,1,-0.29,-0.11,0.29,0.51,0.38,0.29,0.1,0.21,-0.02
"macroalgae",-0.57,-0.56,-0.07,-0.29,1,0.5,0.73,-0.22,0.56,-0.29,0.1,0.22,0.55
"kelps",-0.2,-0.27,-0.08,-0.11,0.5,1,0.36,-0.12,0.27,-0.24,0.01,0.03,0.15
"mean.relief",-0.71,-0.83,0.02,0.29,0.73,0.36,1,0.31,0.83,-0.21,0.14,0.43,0.56
"sd.relief",-0.15,-0.25,0.06,0.51,-0.22,-0.12,0.31,1,0.25,0.01,0.1,0.2,0.01
"reef",-0.7,-1,0.39,0.38,0.56,0.27,0.83,0.25,1,-0.23,0.13,0.38,0.53
"aspect",0.34,0.23,-0.35,0.29,-0.29,-0.24,-0.21,0.01,-0.23,1,0.3,0.02,-0.15
"tpi",-0.16,-0.13,-0.05,0.1,0.1,0.01,0.14,0.1,0.13,0.3,1,0.02,0.34
"roughness",-0.4,-0.38,0.06,0.21,0.22,0.03,0.43,0.2,0.38,0.02,0.02,1,0.33
"detrended",-0.6,-0.53,0.14,-0.02,0.55,0.15,0.56,0.01,0.53,-0.15,0.34,0.33,1
