"family","genus","species","n","totalfish"
"Acanthuridae","Naso","brachycentron",1,1
"Acanthuridae","Naso","fageni",10,119
"Acanthuridae","Naso","hexacanthus",2,7
"Albulidae","Albula","argentea",1,2
"Apogonidae","Apogon","spp",1,1
"Apogonidae","Unknown","spp",2,2
"Balistidae","Abalistes","filamentosus",17,22
"Balistidae","Abalistes","stellatus",2,3
"Balistidae","Pseudobalistes","flavimarginatus",1,1
"Balistidae","Pseudobalistes","fuscus",2,2
"Balistidae","Sufflamen","fraenatum",14,18
"Balistidae","Xanthichthys","lineopunctatus",2,3
"Carangidae","Carangoides","caeruleopinnatus",1,1
"Carangidae","Carangoides","chrysophrys",51,97
"Carangidae","Carangoides","equula",2,2
"Carangidae","Carangoides","fulvoguttatus",33,131
"Carangidae","Carangoides","gymnostethus",11,61
"Carangidae","Carangoides","spp",7,11
"Carangidae","Caranx","ignobilis",1,1
"Carangidae","Caranx","lugubris",1,1
"Carangidae","Caranx","sexfasciatus",1,1
"Carangidae","Decapterus","muroadsi",2,81
"Carangidae","Decapterus","spp",30,242
"Carangidae","Gnathanodon","speciosus",2,2
"Carangidae","Seriola","dumerili",6,11
"Carangidae","Seriola","rivoliana",7,8
"Carangidae","Seriola","sp1",2,3
"Carangidae","Seriola","spp",1,1
"Carangidae","Seriolina","nigrofasciata",4,4
"Carangidae","Unknown","sp10",2,2
"Carangidae","Unknown","spp",2,11
"Carcharhinidae","Carcharhinus","albimarginatus",19,21
"Carcharhinidae","Carcharhinus","macloti",2,3
"Carcharhinidae","Carcharhinus","plumbeus",10,12
"Carcharhinidae","Carcharhinus","spp",3,3
"Carcharhinidae","Galeocerdo","cuvier",1,1
"Carcharhinidae","Hemitriakis","spp",1,2
"Carcharhinidae","Loxodon","macrorhinus",5,6
"Carcharhinidae","Unknown","spp",2,2
"Chaetodontidae","Chaetodon","assarius",1,1
"Chaetodontidae","Heniochus","acuminatus",5,8
"Cirrhitidae","Cirrhitichthys","aprinus",4,6
"Cirrhitidae","Cyprinocirrhites","polyactis",3,4
"Cirrhitidae","Paracirrhites","forsteri",6,18
"Dasyatidae","Taeniurops","meyeni",2,2
"Echeneidae","Echeneis","naucrates",22,24
"Ephippidae","Platax","batavianus",1,1
"Fistulariidae","Fistularia","commersonii",3,3
"Gobiidae","Unknown","spp",1,1
"Haemulidae","Diagramma","pictum",4,4
"Labridae","Bodianus","izuensis",1,2
"Labridae","Bodianus","solatus",25,46
"Labridae","Choerodon","sp1",11,16
"Labridae","Choerodon","zamboangae",5,6
"Labridae","Coris","caudimacula",6,6
"Labridae","Diproctacanthus","xanthurus",1,1
"Labridae","Oxycheilinus","orientalis",3,5
"Labridae","Suezichthys","cyanolaemus",6,8
"Labridae","Unknown","spp",3,3
"Lethrinidae","Gymnocranius","euanus",26,34
