"name","armean","n","sd","se"
"Amblypomacentrus breviceps",1.56043004989624,1,NA,NA
"Aphareus rutilans",4.13859009742737,2,0.605198736060299,0.427940130233765
"Bodianus bilunulatus",1.53383499383926,2,0.0834314567949522,0.0589949488639831
"Carangoides chrysophrys",4.52466011047363,1,NA,NA
"Carangoides caeruleopinnatus",5.09763669967651,3,0.340135097181455,0.196377089918552
"Carangoides fulvoguttatus",4.77175498008728,2,0.647193855916553,0.457635164260864
"Carangoides gymnostethus",4.8384165763855,3,0.548557090328046,0.316709583766775
"Carcharhinus albimarginatus",3.01938998699188,3,1.25414880719412,0.724083151437371
"Carcharhinus plumbeus",3.17827498912811,2,0.469653291137505,0.33209502696991
"Cephalopholis sonnerati",1.95736002922058,1,NA,NA
"Chaetodon assarius",2.87667989730835,1,NA,NA
"Coris caudimacula",1.17453002929688,1,NA,NA
"Cyprinocirrhites polyactis",1.92251002788544,1,NA,NA
"Decapterus muroadsi",4.28212976455688,1,NA,NA
"Echeneis naucrates",1.53934001922607,1,NA,NA
"Epinephelus areolatus",1.77935248613358,4,0.141274205300629,0.0706371026503147
"Epinephelus multinotatus",1.54395671685537,3,0.0864691828913381,0.049923006018921
"Gnathanodon speciosus",3.06632995605469,1,NA,NA
"Gymnocranius grandoculis",2.70256006717682,2,0.0838487948889071,0.0592900514602661
"Heniochus acuminatus",1.98489499092102,2,0.112988620187157,0.07989501953125
"Labroides dimidiatus",1.07647001743317,1,NA,NA
"Lethrinus miniatus",2.12179505825043,2,0.0798111268015634,0.0564349889755249
"Lethrinus ravus",1.78229999542236,1,NA,NA
"Lethrinus rubrioperculatus",2.33985996246338,1,NA,NA
"Lutjanus lemniscatus",1.57945001125336,1,NA,NA
"Lutjanus sebae",1.60236001014709,2,0.217011088409501,0.153450012207031
"Ostorhinchus aureus",1.81014496088028,2,0.476526346311571,0.336955010890961
"Ostorhinchus semilineatus",1.23076999187469,1,NA,NA
"Parapercis nebulosa",1.57743000984192,1,NA,NA
"Parupeneus cyclostomus",1.71730995178223,1,NA,NA
"Parupeneus spilurus",1.81445002555847,1,NA,NA
"Pentapodus nagasakiensis",1.78991001844406,2,0.312102892313477,0.220690071582794
"Pomacanthus semicirculatus",1.98792999982834,2,0.414817122358042,0.293320000171661
"Priacanthus hamrur",2.90633988380432,1,NA,NA
"Pseudanthias fasciatus",2.01431506872177,2,0.278536467809825,0.196955025196075
"Ptereleotris heteroptera",0.82321298122406,1,NA,NA
"Pterocaesio chrysozona",2.54377007484436,2,0.306856031142356,0.21697998046875
"Sargocentron rubrum",2.43589997291565,1,NA,NA
"Suezichthys cyanolaemus",1.46160995960236,1,NA,NA
"Sufflamen fraenatum",2.35166001319885,2,0.224152787595975,0.158499956130981
"Xanthichthys lineopunctatus",1.94707000255585,1,NA,NA
"Pristipomoides sp1",3.34,4,NA,NA
