name,armean,n,sd,se
Abalistes stellatus,2.461423318,3,0.416989479,0.240748988
Aluterus monoceros,1.541265011,2,0.18388316,0.130025029
Aphareus rutilans,4.138590097,2,0.605198736,0.42794013
Apolemichthys trimaculatus,2.144845009,2,0.09463215,0.066915035
Aprion virescens,3.221695065,2,1.28210494,0.906585097
Argyrops spinifer,2.561834931,2,0.478831526,0.338585019
Arothron stellatus,1.338969946,1,NA,NA
Bodianus izuensis,2.159470081,1,NA,NA
Carangoides chrysophrys,4.52466011,1,NA,NA
Carangoides caeruleopinnatus,5.0976367,3,0.340135097,0.19637709
Carangoides equula,3.924393336,3,1.231536619,0.711027999
Carangoides fulvoguttatus,4.77175498,2,0.647193856,0.457635164
Carangoides gymnostethus,4.838416576,3,0.54855709,0.316709584
Caranx ignobilis,3.47578001,1,NA,NA
Caranx lugubris,6.26086998,1,NA,NA
Caranx sexfasciatus,4.207759857,1,NA,NA
Carcharhinus albimarginatus,3.019389987,3,1.254148807,0.724083151
Carcharhinus macloti,1.60490334,3,0.104935554,0.060584571
Carcharhinus plumbeus,3.178274989,2,0.469653291,0.332095027
Chaetodon assarius,2.876679897,1,NA,NA
Chaetodontoplus personifer,1.816920042,1,NA,NA
Choerodon zamboangae,1.428300023,1,NA,NA
Cirrhitichthys aprinus,1.757539988,1,NA,NA
Coris caudimacula,1.174530029,1,NA,NA
Cyprinocirrhites polyactis,1.922510028,1,NA,NA
Decapterus muroadsi,4.282129765,1,NA,NA
Diagramma pictum,1.453359807,5,0.390602985,0.174682966
Diproctacanthus xanthurus,1.268650055,1,NA,NA
Echeneis naucrates,1.539340019,1,NA,NA
Epinephelus amblycephalus,1.311119994,3,0.152296715,0.087928549
Epinephelus areolatus,1.779352486,4,0.141274205,0.070637103
Epinephelus coioides,1.284177005,4,0.21563956,0.10781978
Epinephelus morrhua,1.225174993,4,0.11293479,0.056467395
Epinephelus multinotatus,1.543956717,3,0.086469183,0.049923006
Epinephelus rivulatus,1.33246249,4,0.183922581,0.091961291
Epinephelus tukula,1.072047333,3,0.274420678,0.158436852
Fistularia commersonii,1.756450057,1,NA,NA
Galeocerdo cuvier,1.385943979,2,0.70934971,0.50158599
Gnathanodon speciosus,3.066329956,1,NA,NA
Gymnocranius euanus,2.04027009,1,NA,NA
Gymnocranius grandoculis,2.702560067,2,0.083848795,0.059290051
Gymnothorax javanicus,NA,1,NA,NA
Gymnothorax pseudothyrsoideus,NA,1,NA,NA
Heniochus acuminatus,1.984894991,2,0.11298862,0.07989502
Lagocephalus lunaris,2.089206457,2,1.543208881,1.091213465
Lagocephalus sceleratus,1.802780032,1,NA,NA
Lethrinus miniatus,2.121795058,2,0.079811127,0.056434989
Lethrinus nebulosus,1.837065041,2,0.079005026,0.05586499
Lethrinus olivaceus,2.817640066,1,NA,NA
Lethrinus ravus,1.782299995,1,NA,NA
Lethrinus rubrioperculatus,2.339859962,1,NA,NA
Loxodon macrorhinus,2.077424943,2,0.209423728,0.148084939
Lutjanus lemniscatus,1.579450011,1,NA,NA
Lutjanus sebae,1.60236001,2,0.217011088,0.153450012
Malacanthus brevirostris,1.346779943,1,NA,NA
Malacanthus latovittatus,1.994369984,1,NA,NA
Mulloidichthys flavolineatus,2.481384993,2,1.513795439,1.07041502
Naso brachycentron,3.351244926,2,0.377432446,0.266885042
Naso fageni,2.326600075,1,NA,NA
Naso hexacanthus,3.558244944,2,0.046223629,0.032685041
Nemipterus virgatus,1.927835047,2,0.342699313,0.242325008
Oxycheilinus orientalis,1.326329947,1,NA,NA
Chrysophrys auratus,3.303800106,1,NA,NA
Paracirrhites forsteri,1.154890001,2,0.020986855,0.014839947
Parapercis clathrata,1.375730038,1,NA,NA
Parapercis nebulosa,1.57743001,1,NA,NA
Parascolopsis eriomma,1.940665066,2,0.581814569,0.411405027
Parascolopsis inermis,1.991254985,2,0.098224158,0.069454968
Parupeneus chrysopleuron,1.079560041,1,NA,NA
Parupeneus cyclostomus,1.717309952,1,NA,NA
Parupeneus heptacanthus,2.757174969,2,0.379850664,0.26859498
Parupeneus spilurus,1.814450026,1,NA,NA
Pentapodus nagasakiensis,1.789910018,2,0.312102892,0.220690072
Pentapodus vitta,2.810009956,1,NA,NA
Platax batavianus,3.084399939,1,NA,NA
Pomacanthus imperator,1.705145061,2,0.447888574,0.316705048
Pomacanthus semicirculatus,1.98793,2,0.414817122,0.29332
Pristipomoides filamentosus,2.9330767,3,0.705847647,0.407521329
Pristipomoides multidens,2.508039951,1,NA,NA
Pristipomoides typus,3.742789984,1,NA,NA
Pseudobalistes flavimarginatus,1.744954944,2,0.51304128,0.362774968
Pseudobalistes fuscus,1.510560036,1,NA,NA
Pterois antennata,0.84504801,1,NA,NA
Saurida undosquamis,2.57921505,2,0.91715285,0.648525
Scarus ghobban,1.774770021,1,NA,NA
Scomberomorus commerson,3.129589915,2,0.685610708,0.484799981
Seriola dumerili,2.831570029,2,0.259168895,0.183260083
Seriola rivoliana,3.744220018,1,NA,NA
Seriolina nigrofasciata,1.972910047,1,NA,NA
Sphyraena forsteri,2.811039925,1,NA,NA
Sphyraena jello,2.553544998,2,0.630152368,0.445585012
Sphyraena qenie,2.561729908,1,NA,NA
Sphyrna mokarran,1.853530049,1,NA,NA
Stegostoma fasciatum,0.460302502,2,0.021059769,0.014891505
Suezichthys cyanolaemus,1.46160996,1,NA,NA
Sufflamen fraenatum,2.351660013,2,0.224152788,0.158499956
