"name","armean","n","sd","se"
"Abalistes stellatus",2.46142331759135,3,0.416989478729565,0.240748987793756
"Aluterus monoceros",1.54126501083374,2,0.183883159717756,0.130025029182434
"Aphareus rutilans",4.13859009742737,2,0.605198736060299,0.427940130233765
"Apolemichthys trimaculatus",2.1448450088501,2,0.0946321503741163,0.0669150352478027
"Aprion virescens",3.22169506549835,2,1.28210494006527,0.906585097312927
"Argyrops spinifer",2.5618349313736,2,0.478831526044025,0.338585019111633
"Arothron stellatus",1.33896994590759,1,NA,NA
"Bodianus izuensis",2.15947008132935,1,NA,NA
"Carangoides chrysophrys",4.52466011047363,1,NA,NA
"Carangoides caeruleopinnatus",5.09763669967651,3,0.340135097181455,0.196377089918552
"Kaiwarinus equula",3.92439333597819,3,1.23153661944055,0.711027998750883
"Carangoides fulvoguttatus",4.77175498008728,2,0.647193855916553,0.457635164260864
"Carangoides gymnostethus",4.8384165763855,3,0.548557090328046,0.316709583766775
"Caranx ignobilis",3.47578001022339,1,NA,NA
"Caranx lugubris",6.2608699798584,1,NA,NA
"Caranx sexfasciatus",4.20775985717773,1,NA,NA
"Carcharhinus albimarginatus",3.01938998699188,3,1.25414880719412,0.724083151437371
"Carcharhinus macloti",1.60490334033966,3,0.104935554470262,0.0605845706209682
"Carcharhinus plumbeus",3.17827498912811,2,0.469653291137505,0.33209502696991
"Chaetodon assarius",2.87667989730835,1,NA,NA
"Chaetodontoplus personifer",1.81692004203796,1,NA,NA
"Choerodon zamboangae",1.42830002307892,1,NA,NA
"Cirrhitichthys aprinus",1.75753998756409,1,NA,NA
"Coris caudimacula",1.17453002929688,1,NA,NA
"Cyprinocirrhites polyactis",1.92251002788544,1,NA,NA
"Decapterus muroadsi",4.28212976455688,1,NA,NA
"Diagramma pictum",1.45335980653763,5,0.390602985412421,0.174682965519306
"Diproctacanthus xanthurus",1.26865005493164,1,NA,NA
"Echeneis naucrates",1.53934001922607,1,NA,NA
"Epinephelus amblycephalus",1.31111999352773,3,0.152296715061805,0.0879285494376289
"Epinephelus areolatus",1.77935248613358,4,0.141274205300629,0.0706371026503147
"Epinephelus coioides",1.28417700529099,4,0.215639559737965,0.107819779868983
"Epinephelus morrhua",1.2251749932766,4,0.11293478979188,0.0564673948959402
"Epinephelus multinotatus",1.54395671685537,3,0.0864691828913381,0.049923006018921
"Epinephelus rankini",1.54395671685537,3,0.0864691828913381,0.049923006018921
"Epinephelus rivulatus",1.33246248960495,4,0.183922581049289,0.0919612905246446
"Epinephelus tukula",1.07204733292262,3,0.274420678171251,0.158436852413371
"Fistularia commersonii",1.75645005702972,1,NA,NA
"Galeocerdo cuvier",1.38594397902489,2,0.709349710023752,0.501585990190506
"Gnathanodon speciosus",3.06632995605469,1,NA,NA
"Gymnocranius euanus",2.04027009010315,1,NA,NA
"Gymnocranius grandoculis",2.70256006717682,2,0.0838487948889071,0.0592900514602661
"Gymnothorax javanicus",NA,1,NA,NA
"Gymnothorax pseudothyrsoideus",NA,1,NA,NA
"Heniochus acuminatus",1.98489499092102,2,0.112988620187157,0.07989501953125
"Lagocephalus lunaris",2.08920645713806,2,1.54320888127511,1.09121346473694
"Lagocephalus sceleratus",1.8027800321579,1,NA,NA
"Lethrinus miniatus",2.12179505825043,2,0.0798111268015634,0.0564349889755249
"Lethrinus nebulosus",1.83706504106522,2,0.0790050261769441,0.0558649897575378
"Lethrinus olivaceus",2.81764006614685,1,NA,NA
"Lethrinus ravus",1.78229999542236,1,NA,NA
"Lethrinus rubrioperculatus",2.33985996246338,1,NA,NA
"Loxodon macrorhinus",2.07742494344711,2,0.209423728446872,0.148084938526154
"Lutjanus lemniscatus",1.57945001125336,1,NA,NA
"Lutjanus sebae",1.60236001014709,2,0.217011088409501,0.153450012207031
"Malacanthus brevirostris",1.34677994251251,1,NA,NA
"Malacanthus latovittatus",1.9943699836731,1,NA,NA
"Mulloidichthys flavolineatus",2.48138499259949,2,1.51379543863633,1.07041501998901
"Naso brachycentron",3.35124492645264,2,0.377432446260394,0.266885042190552
"Naso fageni",2.32660007476807,1,NA,NA
"Naso hexacanthus",3.55824494361877,2,0.0462236288736558,0.0326850414276123
"Nemipterus virgatus",1.92783504724503,2,0.342699312696263,0.242325007915497
"Ostorhinchus semilineatus",1.23076999187469,1,NA,NA
"Oxycheilinus orientalis",1.32632994651794,1,NA,NA
"Chrysophrys auratus",3.30380010604858,1,NA,NA
"Paracirrhites forsteri",1.15489000082016,2,0.0209868546286056,0.0148399472236633
"Parapercis clathrata",1.37573003768921,1,NA,NA
"Parapercis nebulosa",1.57743000984192,1,NA,NA
"Parascolopsis inermis",1.99125498533249,2,0.0982241576853058,0.0694549679756164
"Parupeneus chrysopleuron",1.07956004142761,1,NA,NA
"Parupeneus cyclostomus",1.71730995178223,1,NA,NA
"Parupeneus heptacanthus",2.75717496871948,2,0.379850663840555,0.268594980239868
"Parupeneus spilurus",1.81445002555847,1,NA,NA
"Pentapodus nagasakiensis",1.78991001844406,2,0.312102892313477,0.220690071582794
"Pentapodus vitta",2.81000995635986,1,NA,NA
"Platax batavianus",3.08439993858337,1,NA,NA
"Pomacanthus imperator",1.70514506101608,2,0.447888574272782,0.316705048084259
"Pomacanthus semicirculatus",1.98792999982834,2,0.414817122358042,0.293320000171661
"Pristipomoides multidens",2.50803995132446,1,NA,NA
"Pseudanthias fasciata",2.01431506872177,2,0.278536467809825,0.196955025196075
"Pseudobalistes flavimarginatus",1.74495494365692,2,0.513041280043348,0.362774968147278
"Pseudobalistes fuscus",1.51056003570557,1,NA,NA
"Pterois antennata",0.845048010349274,1,NA,NA
"Saurida undosquamis",2.57921504974365,2,0.917152849998532,0.64852499961853
"Scarus ghobban",1.7747700214386,1,NA,NA
"Scomberomorus commerson",3.12958991527557,2,0.685610708334233,0.484799981117248
"Seriolina nigrofasciata",1.97291004657745,1,NA,NA
"Sphyraena forsteri",2.81103992462158,1,NA,NA
"Sphyraena jello",2.55354499816895,2,0.630152367777053,0.445585012435913
"Sphyraena qenie",2.5617299079895,1,NA,NA
"Sphyrna mokarran",1.85353004932404,1,NA,NA
"Stegostoma fasciatum",0.460302501916885,2,0.0210597686765295,0.014891505241394
"Suezichthys cyanolaemus",1.46160995960236,1,NA,NA
"Sufflamen fraenatum",2.35166001319885,2,0.224152787595975,0.158499956130981
"Taeniurops meyeni",NA,1,NA,NA
"Upeneus moluccensis",1.97925996780396,1,NA,NA
"Variola louti",2.09291005134583,2,0.908773719339778,0.642600059509277
"Xanthichthys lineopunctatus",1.94707000255585,1,NA,NA
"Pristipomoides sp1",3.34,4,NA,NA
"Seriola sp1",3.29,3,NA,NA
