,modname,AICc,BIC,r2.vals,r2.vals.unique,edf,edf.less.1,delta.AICc,delta.BIC,wi.AICc,wi.BIC,z,reef,mean.relief,roughness,detrended,cumsum.wi
BOSS.total.abundance,mean.relief,1438.253579,1446.215559,0.0919,NA,2,0,0,0,0.206,0.451,0,0,1,0,0,0.206
BOSS.total.abundance,detrended+mean.relief,1438.961845,1450.707393,0.1117,NA,3.47,0,0.708,4.492,0.144,0.048,0,0,1,0,1,0.35
BOSS.total.abundance,reef,1439.279042,1447.241022,0.08362,NA,2,0,1.025,1.025,0.123,0.27,0,1,0,0,0,0.473
BOSS.total.abundance,mean.relief+roughness,1439.653556,1450.653779,0.10105,NA,3.18,0,1.4,4.438,0.102,0.049,0,0,1,1,0,0.575
BRUV.total.abundance,z,857.044789,864.2283452,0.04671,NA,2,0,0,0.232,0.229,0.28,1,0,0,0,0,0.229
BRUV.total.abundance,reef+z,857.7467777,867.2251328,0.06255,NA,3,0,0.702,3.228,0.161,0.063,1,1,0,0,0,0.39
BRUV.total.abundance,mean.relief+z,858.4207855,867.8991405,0.05543,NA,3,0,1.376,3.902,0.115,0.045,1,0,1,0,0,0.505
BRUV.total.abundance,roughness,858.7240501,865.9076063,0.02855,NA,2,0,1.679,1.911,0.099,0.121,0,0,0,1,0,0.604
BOSS.species.richness,mean.relief+roughness,529.1239952,540.4632504,0.2554,NA,3.31,0,0,0,0.574,0.842,0,0,1,1,0,0.574
BOSS.species.richness,detrended+mean.relief+roughness,530.4656412,545.7183819,0.26929,NA,4.87,0,1.342,5.255,0.294,0.061,0,0,1,1,1,0.868
BRUV.species.richness,mean.relief+z,508.3476878,519.2280125,0.31411,NA,3.62,0,0,2.532,0.502,0.2,1,0,1,0,0,0.502
BRUV.species.richness,z,509.3541192,516.6959488,0.27891,NA,2.07,0,1.006,0,0.303,0.71,1,0,0,0,0,0.805
BRUV.species.richness,reef+z,510.2542585,520.8429571,0.29692,NA,3.49,0,1.907,4.147,0.193,0.089,1,1,0,0,0,0.998
