"name","scaledubiquitybruv","n_BRUV","indi_BRUV","scaledubiquityboss","n_BOSS","indi_BOSS","armean"
"Abalistes stellatus",0.0285714285714286,2,3,0,0,NA,2.46142331759135
"Aluterus monoceros",0.0142857142857143,1,1,0,0,NA,1.54126501083374
"Amblypomacentrus breviceps",0,0,NA,-0.032258064516129,1,1,1.56043004989624
"Aphareus rutilans",0.157142857142857,11,13,-0.0645161290322581,2,2,4.13859009742737
"Apolemichthys trimaculatus",0.0285714285714286,2,3,0,0,NA,2.1448450088501
"Aprion virescens",0.0142857142857143,1,1,0,0,NA,3.22169506549835
"Argyrops spinifer",0.328571428571429,23,46,0,0,NA,2.5618349313736
"Arothron stellatus",0.0428571428571429,3,3,0,0,NA,1.33896994590759
"Bodianus bilunulatus",0,0,NA,-0.032258064516129,1,1,1.53383499383926
"Bodianus izuensis",0.0142857142857143,1,2,0,0,NA,2.15947008132935
"Carangoides caeruleopinnatus",0.0142857142857143,1,1,-0.032258064516129,1,1,5.09763669967651
"Carangoides chrysophrys",0.557142857142857,39,75,-0.0645161290322581,2,2,4.52466011047363
"Carangoides fulvoguttatus",0.471428571428571,33,131,-0.032258064516129,1,1,4.77175498008728
"Carangoides gymnostethus",0.157142857142857,11,61,-0.032258064516129,1,46,4.8384165763855
"Caranx ignobilis",0.0142857142857143,1,1,0,0,NA,3.47578001022339
"Caranx lugubris",0.0142857142857143,1,1,0,0,NA,6.2608699798584
"Caranx sexfasciatus",0.0142857142857143,1,1,0,0,NA,4.20775985717773
"Carcharhinus albimarginatus",0.271428571428571,19,21,-0.0645161290322581,2,3,3.01938998699188
"Carcharhinus macloti",0.0285714285714286,2,3,0,0,NA,1.60490334033966
"Carcharhinus plumbeus",0.142857142857143,10,12,-0.032258064516129,1,1,3.17827498912811
"Cephalopholis sonnerati",0,0,NA,-0.0967741935483871,3,4,1.95736002922058
"Chaetodon assarius",0.0142857142857143,1,1,-0.0967741935483871,3,3,2.87667989730835
"Chaetodontoplus personifer",0.0285714285714286,2,3,0,0,NA,1.81692004203796
"Choerodon zamboangae",0.0714285714285714,5,6,0,0,NA,1.42830002307892
"Chrysophrys auratus",0.0285714285714286,2,4,0,0,NA,3.30380010604858
"Cirrhitichthys aprinus",0.0571428571428571,4,6,0,0,NA,1.75753998756409
"Coris caudimacula",0.0857142857142857,6,6,-0.0645161290322581,2,2,1.17453002929688
"Cyprinocirrhites polyactis",0.0428571428571429,3,4,-0.161290322580645,5,11,1.92251002788544
"Decapterus muroadsi",0.457142857142857,32,323,-0.161290322580645,5,64,4.28212976455688
"Diagramma pictum",0.0571428571428571,4,4,0,0,NA,1.45335980653763
"Diproctacanthus xanthurus",0.0142857142857143,1,1,0,0,NA,1.26865005493164
"Echeneis naucrates",0.314285714285714,22,24,-0.032258064516129,1,1,1.53934001922607
"Epinephelus amblycephalus",0.0142857142857143,1,1,0,0,NA,1.31111999352773
"Epinephelus areolatus",0.128571428571429,9,13,-0.0645161290322581,2,2,1.77935248613358
"Epinephelus coioides",0.0285714285714286,2,2,0,0,NA,1.28417700529099
"Epinephelus morrhua",0.0142857142857143,1,1,0,0,NA,1.2251749932766
"Epinephelus multinotatus",0.0571428571428571,4,4,-0.032258064516129,1,1,1.54395671685537
"Epinephelus rankini",0.0142857142857143,1,1,0,0,NA,1.54395671685537
"Epinephelus rivulatus",0.0714285714285714,5,5,0,0,NA,1.33246248960495
"Epinephelus tukula",0.0285714285714286,2,2,0,0,NA,1.07204733292262
"Fistularia commersonii",0.0428571428571429,3,3,0,0,NA,1.75645005702972
"Galeocerdo cuvier",0.0142857142857143,1,1,0,0,NA,1.38594397902489
"Gnathanodon speciosus",0.0285714285714286,2,2,-0.032258064516129,1,52,3.06632995605469
"Gymnocranius euanus",0.371428571428571,26,34,0,0,NA,2.04027009010315
"Gymnocranius grandoculis",1,70,190,-0.258064516129032,8,21,2.70256006717682
"Heniochus acuminatus",0.0714285714285714,5,8,-0.225806451612903,7,16,1.98489499092102
"Kaiwarinus equula",0.0285714285714286,2,2,0,0,NA,3.92439333597819
"Labroides dimidiatus",0,0,NA,-0.161290322580645,5,5,1.07647001743317
"Lagocephalus lunaris",0.0428571428571429,3,3,0,0,NA,2.08920645713806
"Lagocephalus sceleratus",0.0428571428571429,3,3,0,0,NA,1.8027800321579
"Lethrinus miniatus",0.828571428571429,58,192,-0.32258064516129,10,11,2.12179505825043
"Lethrinus nebulosus",0.228571428571429,16,20,0,0,NA,1.83706504106522
"Lethrinus olivaceus",0.0142857142857143,1,1,0,0,NA,2.81764006614685
"Lethrinus ravus",0.242857142857143,17,46,-0.032258064516129,1,1,1.78229999542236
"Lethrinus rubrioperculatus",0.842857142857143,59,165,-0.0645161290322581,2,3,2.33985996246338
"Loxodon macrorhinus",0.0714285714285714,5,5,0,0,NA,2.07742494344711
"Lutjanus lemniscatus",0.0142857142857143,1,1,-0.032258064516129,1,1,1.57945001125336
"Lutjanus sebae",0.5,35,62,-0.225806451612903,7,8,1.60236001014709
"Malacanthus brevirostris",0.1,7,14,0,0,NA,1.34677994251251
"Malacanthus latovittatus",0.0285714285714286,2,3,0,0,NA,1.9943699836731
"Mulloidichthys flavolineatus",0.0142857142857143,1,3,0,0,NA,2.48138499259949
"Naso brachycentron",0.0142857142857143,1,1,0,0,NA,3.35124492645264
"Naso fageni",0.157142857142857,11,125,0,0,NA,2.32660007476807
"Naso hexacanthus",0.0142857142857143,1,1,0,0,NA,3.55824494361877
"Nemipterus virgatus",0.0142857142857143,1,1,0,0,NA,1.92783504724503
"Ostorhinchus aureus",0,0,NA,-0.032258064516129,1,1,1.81014496088028
"Ostorhinchus semilineatus",0.0142857142857143,1,1,-0.0645161290322581,2,130,1.23076999187469
"Oxycheilinus orientalis",0.0428571428571429,3,5,0,0,NA,1.32632994651794
"Paracirrhites forsteri",0.0857142857142857,6,18,0,0,NA,1.15489000082016
"Parapercis clathrata",0.0142857142857143,1,1,0,0,NA,1.37573003768921
