"family","genus","species","name","n","totalfish"
"Acanthuridae","Naso","tuberosus","Naso tuberosus",1,1
"Berycidae","Centroberyx","gerrardi","Centroberyx gerrardi",1,9
"Berycidae","Centroberyx","sp1","Centroberyx sp1",1,255
"Callanthiidae","Callanthias","australis","Callanthias australis",5,131
"Carangidae","Carangoides","sp1","Carangoides sp1",1,630
"Carangidae","Carangoides","sp10","Carangoides sp10",1,3
"Carangidae","Pseudocaranx","spp","Pseudocaranx spp",10,22
"Carangidae","Unknown","sp10","Unknown sp10",1,2
"Chaetodontidae","Chelmonops","curiosus","Chelmonops curiosus",7,10
"Cheilodactylidae","Dactylophora","nigricans","Dactylophora nigricans",3,4
"Cheilodactylidae","Nemadactylus","valenciennesi","Nemadactylus valenciennesi",14,16
"Enoplosidae","Enoplosus","armatus","Enoplosus armatus",4,49
"Gerreidae","Parequula","elongata","Parequula elongata",1,2
"Gerreidae","Parequula","melbournensis","Parequula melbournensis",5,8
"Glaucosomatidae","Glaucosoma","hebraicum","Glaucosoma hebraicum",6,10
"Kyphosidae","Girella","tephraeops","Girella tephraeops",1,1
"Labridae","Achoerodus","gouldii","Achoerodus gouldii",1,2
"Labridae","Austrolabrus","maculatus","Austrolabrus maculatus",37,46
"Labridae","Bodianus","frenchii","Bodianus frenchii",7,9
"Labridae","Bodianus","vulpinus","Bodianus vulpinus",2,2
"Labridae","Choerodon","rubescens","Choerodon rubescens",7,9
"Labridae","Coris","auricularis","Coris auricularis",98,568
"Labridae","Dotalabrus","aurantiacus","Dotalabrus aurantiacus",3,6
"Labridae","Eupetrichthys","angustipes","Eupetrichthys angustipes",13,15
"Labridae","Notolabrus","parilus","Notolabrus parilus",3,3
"Labridae","Ophthalmolepis","lineolatus","Ophthalmolepis lineolatus",112,286
"Labridae","Pseudolabrus","biserialis","Pseudolabrus biserialis",122,620
"Labridae","Suezichthys","bifurcatus","Suezichthys bifurcatus",40,102
"Labridae","Unknown","spp","Unknown spp",7,22
"Monacanthidae","Acanthaluteres","vittiger","Acanthaluteres vittiger",1,5
"Monacanthidae","Meuschenia","flavolineata","Meuschenia flavolineata",4,7
"Monacanthidae","Meuschenia","freycineti","Meuschenia freycineti",1,1
"Monacanthidae","Meuschenia","galii","Meuschenia galii",10,11
"Monacanthidae","Meuschenia","hippocrepis","Meuschenia hippocrepis",2,2
"Monacanthidae","Meuschenia","scaber","Meuschenia scaber",16,24
"Monacanthidae","Meuschenia","venusta","Meuschenia venusta",2,2
"Monacanthidae","Nelusetta","ayraud","Nelusetta ayraud",7,13
"Monacanthidae","Unknown","spp","Unknown spp",1,1
"Monocentridae","Cleidopus","gloriamaris","Cleidopus gloriamaris",1,2
"Mullidae","Parupeneus","chrysopleuron","Parupeneus chrysopleuron",16,18
"Mullidae","Upeneichthys","vlamingii","Upeneichthys vlamingii",20,21
"Neosebastidae","Neosebastes","bougainvillii","Neosebastes bougainvillii",1,1
"Neosebastidae","Neosebastes","nigropunctatus","Neosebastes nigropunctatus",2,2
"Neosebastidae","Neosebastes","pandus","Neosebastes pandus",1,2
"Odacidae","Olisthops","cyanomelas","Olisthops cyanomelas",1,1
"Odacidae","Siphonognathus","spp","Siphonognathus spp",4,4
"Oplegnathidae","Oplegnathus","woodwardi","Oplegnathus woodwardi",7,9
"Ostraciidae","Aracana","aurita","Aracana aurita",2,2
"Parascylliidae","Parascyllium","variolatum","Parascyllium variolatum",3,3
"Pempheridae","Parapriacanthus","elongatus","Parapriacanthus elongatus",8,1926
"Pempherididae","Pempheris","klunzingeri","Pempheris klunzingeri",6,122
"Pentacerotidae","Pentaceropsis","recurvirostris","Pentaceropsis recurvirostris",1,1
"Pinguipedidae","Parapercis","ramsayi","Parapercis ramsayi",2,2
"Pinguipedidae","Unknown","spp","Unknown spp",1,1
"Platycephalidae","Platycephalus","spp","Platycephalus spp",1,3
"Plesiopidae","Trachinops","noarlungae","Trachinops noarlungae",2,91
"Pomacentridae","Chromis","klunzingeri","Chromis klunzingeri",71,648
"Pomacentridae","Chromis","westaustralis","Chromis westaustralis",1,4
"Pomacentridae","Parma","bicolor","Parma bicolor",8,10
"SUS","SUS","sus","SUS sus",34,107
"Scorpididae","Neatypus","obliquus","Neatypus obliquus",92,566
"Scorpididae","Scorpis","aequipinnis","Scorpis aequipinnis",6,13
"Scorpididae","Scorpis","georgiana","Scorpis georgiana",6,7
"Scorpididae","Tilodon","sexfasciatus","Tilodon sexfasciatus",7,9
"Serranidae","Caesioperca","spp","Caesioperca spp",67,988
"Serranidae","Epinephelides","armatus","Epinephelides armatus",8,11
"Sparidae","Chrysophrys","auratus","Chrysophrys auratus",6,7
"Urolophidae","Trygonoptera","mucosa","Trygonoptera mucosa",2,2
