"family","genus","species","name","n","totalfish"
"Aplodactylidae","Aplodactylus","westralis","Aplodactylus westralis",4,4
"Aracanidae","Anoplocapros","amygdaloides","Anoplocapros amygdaloides",4,4
"Aracanidae","Anoplocapros","lenticularis","Anoplocapros lenticularis",5,5
"Aracanidae","Caprichthys","gymnura","Caprichthys gymnura",4,4
"Aulopidae","Latropiscis","purpurissatus","Latropiscis purpurissatus",8,9
"Batrachoididae","Batrachomoeus","rubricephalus","Batrachomoeus rubricephalus",1,1
"Berycidae","Centroberyx","gerrardi","Centroberyx gerrardi",5,5
"Berycidae","Centroberyx","sp1","Centroberyx sp1",1,55
"Callanthiidae","Callanthias","allporti","Callanthias allporti",1,3
"Callanthiidae","Callanthias","australis","Callanthias australis",1,1
"Carangidae","Pseudocaranx","spp","Pseudocaranx spp",40,127
"Carangidae","Seriola","hippos","Seriola hippos",7,8
"Carangidae","Seriola","lalandi","Seriola lalandi",1,1
"Carangidae","Unknown","sp10","Unknown sp10",1,2
"Carcharhinidae","Carcharhinus","brevipinna","Carcharhinus brevipinna",4,4
"Carcharhinidae","Carcharhinus","limbatus","Carcharhinus limbatus",4,5
"Carcharhinidae","Carcharhinus","plumbeus","Carcharhinus plumbeus",2,2
"Carcharhinidae","Carcharhinus","spp","Carcharhinus spp",1,1
"Carcharhinidae","Unknown","spp","Unknown spp",1,1
"Chaetodontidae","Chelmonops","curiosus","Chelmonops curiosus",5,6
"Cheilodactylidae","Dactylophora","nigricans","Dactylophora nigricans",1,1
"Cheilodactylidae","Nemadactylus","valenciennesi","Nemadactylus valenciennesi",34,46
"Dasyatidae","Bathytoshia","brevicaudata","Bathytoshia brevicaudata",17,17
"Diodontidae","Diodon","nicthemerus","Diodon nicthemerus",1,1
"Enoplosidae","Enoplosus","armatus","Enoplosus armatus",2,4
"Gerraidae","Parequula","elongata","Parequula elongata",4,28
"Gerreidae","Parequula","melbournensis","Parequula melbournensis",12,30
"Glaucosomatidae","Glaucosoma","hebraicum","Glaucosoma hebraicum",12,18
"Gobiesocidae","Unknown","spp","Unknown spp",1,1
"Haemulidae","Plectorhinchus","flavomaculatus","Plectorhinchus flavomaculatus",1,1
"Heterodontidae","Heterodontus","portusjacksoni","Heterodontus portusjacksoni",39,70
"Kyphosidae","Kyphosus","sydneyanus","Kyphosus sydneyanus",1,1
"Labridae","Achoerodus","gouldii","Achoerodus gouldii",5,5
"Labridae","Austrolabrus","maculatus","Austrolabrus maculatus",53,90
"Labridae","Bodianus","frenchii","Bodianus frenchii",10,12
"Labridae","Bodianus","vulpinus","Bodianus vulpinus",2,2
"Labridae","Choerodon","rubescens","Choerodon rubescens",13,14
"Labridae","Coris","auricularis","Coris auricularis",90,1118
"Labridae","Eupetrichthys","angustipes","Eupetrichthys angustipes",33,40
"Labridae","Notolabrus","parilus","Notolabrus parilus",8,8
"Labridae","Ophthalmolepis","lineolatus","Ophthalmolepis lineolatus",69,326
"Labridae","Pictilabrus","laticlavius","Pictilabrus laticlavius",1,1
"Labridae","Pseudolabrus","biserialis","Pseudolabrus biserialis",68,426
"Labridae","Suezichthys","bifurcatus","Suezichthys bifurcatus",15,40
"Labridae","Suezichthys","cyanolaemus","Suezichthys cyanolaemus",1,1
"Monacanthidae","Acanthaluteres","brownii","Acanthaluteres brownii",2,2
"Monacanthidae","Acanthaluteres","vittiger","Acanthaluteres vittiger",8,38
"Monacanthidae","Brachaluteres","jacksonianus","Brachaluteres jacksonianus",2,2
"Monacanthidae","Eubalichthys","bucephalus","Eubalichthys bucephalus",1,1
"Monacanthidae","Meuschenia","flavolineata","Meuschenia flavolineata",10,17
"Monacanthidae","Meuschenia","freycineti","Meuschenia freycineti",10,10
"Monacanthidae","Meuschenia","galii","Meuschenia galii",28,31
"Monacanthidae","Meuschenia","scaber","Meuschenia scaber",11,16
"Monacanthidae","Meuschenia","venusta","Meuschenia venusta",2,2
"Monacanthidae","Nelusetta","ayraud","Nelusetta ayraud",42,290
"Monacanthidae","Scobinichthys","granulatus","Scobinichthys granulatus",13,13
"Monocentridae","Cleidopus","gloriamaris","Cleidopus gloriamaris",1,2
"Mullidae","Parupeneus","chrysopleuron","Parupeneus chrysopleuron",11,15
