"name","armean","n","sd","se"
"Acanthaluteres vittiger",2.15912008285522,1,NA,NA
"Achoerodus gouldii",0.852810978889465,1,NA,NA
"Bodianus frenchii",1.84759998321533,1,NA,NA
"Bodianus vulpinus",1.34079498052597,2,0.221685089615662,0.156755030155182
"Callanthias australis",2.44581007957458,1,NA,NA
"Centroberyx gerrardi",3.3235399723053,1,NA,NA
"Cleidopus gloriamaris",1.32183003425598,1,NA,NA
"Coris auricularis",1.43893003463745,1,NA,NA
"Dactylophora nigricans",1.54736995697021,1,NA,NA
"Enoplosus armatus",2.15458011627197,1,NA,NA
"Epinephelides armatus",2.21627998352051,1,NA,NA
"Glaucosoma hebraicum",1.48939001560211,1,NA,NA
"Meuschenia flavolineata",1.47362995147705,1,NA,NA
"Meuschenia freycineti",1.35854005813599,1,NA,NA
"Meuschenia galii",1.91628003120422,1,NA,NA
"Meuschenia hippocrepis",2.90252995491028,1,NA,NA
"Meuschenia scaber",1.26017999649048,1,NA,NA
"Naso tuberosus",3.04345011711121,1,NA,NA
"Neatypus obliquus",1.31579005718231,1,NA,NA
"Nelusetta ayraud",2.65024995803833,1,NA,NA
"Nemadactylus valenciennesi",2.59383988380432,1,NA,NA
"Neosebastes bougainvillii",1.97799003124237,1,NA,NA
"Neosebastes nigropunctatus",1.55280005931854,1,NA,NA
"Neosebastes pandus",1.15215003490448,1,NA,NA
"Notolabrus parilus",1.83448994159698,1,NA,NA
"Olisthops cyanomelas",1.08749997615814,1,NA,NA
"Oplegnathus woodwardi",2.22812008857727,1,NA,NA
"Chrysophrys auratus",3.30380010604858,1,NA,NA
"Parapercis ramsayi",1.39223003387451,1,NA,NA
"Parapriacanthus elongatus",1.8858699798584,1,NA,NA
"Parequula melbournensis",1.2873500585556,1,NA,NA
"Parupeneus chrysopleuron",1.07956004142761,1,NA,NA
"Pempheris klunzingeri",2.59348011016846,1,NA,NA
"Pentaceropsis recurvirostris",2.997230052948,1,NA,NA
"Scorpis aequipinnis",2.09751009941101,1,NA,NA
"Upeneichthys vlamingii",1.75473999977112,1,NA,NA
