"name","scaledubiquitybruv","n_BRUV","indi_BRUV","scaledubiquityboss","n_BOSS","indi_BOSS","armean"
"Acanthaluteres brownii",0.0222222222222222,2,2,0,0,NA,1.29753994941711
"Acanthaluteres vittiger",0.0888888888888889,8,38,-0.00819672131147541,1,5,2.15912008285522
"Achoerodus gouldii",0.0555555555555556,5,5,-0.00819672131147541,1,2,0.852810978889465
"Anoplocapros lenticularis",0.0555555555555556,5,5,0,0,NA,1.95190000534058
"Bodianus frenchii",0.111111111111111,10,12,-0.0573770491803279,7,9,1.84759998321533
"Bodianus vulpinus",0.0222222222222222,2,2,-0.0163934426229508,2,2,1.34079498052597
"Brachaluteres jacksonianus",0.0222222222222222,2,2,0,0,NA,1.71750998497009
"Callanthias allporti",0.0111111111111111,1,3,0,0,NA,2.5823700428009
"Callanthias australis",0.0111111111111111,1,1,-0.040983606557377,5,131,2.44581007957458
"Carcharhinus brevipinna",0.0444444444444444,4,4,0,0,NA,5.87938976287842
"Carcharhinus limbatus",0.0444444444444444,4,5,0,0,NA,2.00045496225357
"Carcharhinus plumbeus",0.0222222222222222,2,2,0,0,NA,3.17827498912811
"Centroberyx gerrardi",0.0555555555555556,5,5,-0.00819672131147541,1,9,3.3235399723053
"Chelidonichthys kumu",0.0111111111111111,1,1,0,0,NA,0.996329009532928
"Chrysophrys auratus",0.433333333333333,39,110,-0.0491803278688525,6,7,3.30380010604858
"Cleidopus gloriamaris",0.0111111111111111,1,2,-0.00819672131147541,1,2,1.32183003425598
"Coris auricularis",1,90,1118,-0.80327868852459,98,568,1.43893003463745
"Dactylophora nigricans",0.0111111111111111,1,1,-0.0245901639344262,3,4,1.54736995697021
"Diodon nicthemerus",0.0111111111111111,1,1,0,0,NA,1.21811997890472
"Enoplosus armatus",0.0222222222222222,2,4,-0.0327868852459016,4,49,2.15458011627197
"Epinephelides armatus",0.222222222222222,20,28,-0.0655737704918033,8,11,2.21627998352051
"Eubalichthys bucephalus",0.0111111111111111,1,1,0,0,NA,1.23651003837585
"Furgaleus macki",0.233333333333333,21,25,0,0,NA,1.34795999526978
"Galeorhinus galeus",0.0111111111111111,1,1,0,0,NA,1.68761003017426
"Glaucosoma hebraicum",0.133333333333333,12,18,-0.0491803278688525,6,10,1.48939001560211
"Heterodontus portusjacksoni",0.433333333333333,39,70,0,0,NA,1.04558002948761
"Hypoplectrodes nigroruber",0.0666666666666667,6,6,0,0,NA,0.748434007167816
"Kyphosus sydneyanus",0.0111111111111111,1,1,0,0,NA,3.07505011558533
"Latropiscis purpurissatus",0.0888888888888889,8,9,0,0,NA,1.02474999427795
"Meuschenia flavolineata",0.111111111111111,10,17,-0.0327868852459016,4,7,1.47362995147705
"Meuschenia freycineti",0.111111111111111,10,10,-0.00819672131147541,1,1,1.35854005813599
"Meuschenia galii",0.311111111111111,28,31,-0.0819672131147541,10,11,1.91628003120422
"Meuschenia hippocrepis",0,0,NA,-0.0163934426229508,2,2,2.90252995491028
"Meuschenia scaber",0.122222222222222,11,16,-0.131147540983607,16,24,1.26017999649048
"Mustelus antarcticus",0.0666666666666667,6,6,0,0,NA,1.19281995296478
"Naso tuberosus",0,0,NA,-0.00819672131147541,1,1,3.04345011711121
"Neatypus obliquus",0.566666666666667,51,684,-0.754098360655738,92,566,1.31579005718231
"Nelusetta ayraud",0.466666666666667,42,290,-0.0573770491803279,7,13,2.65024995803833
"Nemadactylus valenciennesi",0.377777777777778,34,46,-0.114754098360656,14,16,2.59383988380432
"Neosebastes bougainvillii",0.0444444444444444,4,4,-0.00819672131147541,1,1,1.97799003124237
"Neosebastes nigropunctatus",0.0555555555555556,5,7,-0.0163934426229508,2,2,1.55280005931854
"Neosebastes pandus",0.0888888888888889,8,8,-0.00819672131147541,1,2,1.15215003490448
"Notolabrus parilus",0.0888888888888889,8,8,-0.0245901639344262,3,3,1.83448994159698
"Olisthops cyanomelas",0.0222222222222222,2,2,-0.00819672131147541,1,1,1.08749997615814
"Oplegnathus woodwardi",0.444444444444444,40,75,-0.0573770491803279,7,9,2.22812008857727
"Othos dentex",0.0111111111111111,1,1,0,0,NA,1.54654002189636
"Parapercis haackei",0.0333333333333333,3,3,0,0,NA,0.919961988925934
"Parapercis ramsayi",0.122222222222222,11,15,-0.0163934426229508,2,2,1.39223003387451
"Parapriacanthus elongatus",0.0222222222222222,2,748,-0.0655737704918033,8,1926,1.8858699798584
"Parazanclistius hutchinsi",0.0111111111111111,1,1,0,0,NA,1.49391996860504
"Parequula melbournensis",0.133333333333333,12,30,-0.040983606557377,5,8,1.2873500585556
"Parupeneus chrysopleuron",0.122222222222222,11,15,-0.131147540983607,16,18,1.07956004142761
"Pempheris klunzingeri",0.0555555555555556,5,68,-0.0491803278688525,6,122,2.59348011016846
"Pentaceropsis recurvirostris",0,0,NA,-0.00819672131147541,1,1,2.997230052948
"Pictilabrus laticlavius",0.0111111111111111,1,1,0,0,NA,0.674171984195709
"Plectorhinchus flavomaculatus",0.0111111111111111,1,1,0,0,NA,1.69519996643066
"Scobinichthys granulatus",0.144444444444444,13,13,0,0,NA,2.00711989402771
"Scorpis aequipinnis",0.0777777777777778,7,11,-0.0491803278688525,6,13,2.09751009941101
"Seriola hippos",0.0777777777777778,7,8,0,0,NA,3.1838800907135
"Seriola lalandi",0.0111111111111111,1,1,0,0,NA,3.69775998592377
"Sillaginodes punctatus",0.0111111111111111,1,1,0,0,NA,1.57580995559692
"Sphyraena novaehollandiae",0.0111111111111111,1,1,0,0,NA,3.62963008880615
"Sphyrna zygaena",0.0111111111111111,1,1,0,0,NA,1.66314500570297
"Suezichthys cyanolaemus",0.0111111111111111,1,1,0,0,NA,1.46160995960236
"Upeneichthys vlamingii",0.433333333333333,39,44,-0.163934426229508,20,21,1.75473999977112
