"","z","sand","rock","inverts","macroalgae","seagrasses","mean.relief","sd.relief","reef","aspect","tpi","roughness","detrended"
"z",1,0.77,-0.25,0.04,-0.69,-0.35,-0.78,-0.23,-0.77,0.26,-0.14,0.46,0.76
"sand",0.77,1,-0.35,-0.24,-0.74,-0.42,-0.92,-0.08,-1,0.21,-0.2,0.36,0.59
"rock",-0.25,-0.35,1,0.21,-0.1,-0.16,0.22,0.16,0.35,0.1,0.02,-0.1,0
"inverts",0.04,-0.24,0.21,1,-0.34,-0.16,0.17,0.07,0.24,0.03,0.09,0.42,0.23
"macroalgae",-0.69,-0.74,-0.1,-0.34,1,0.31,0.72,0.02,0.74,-0.23,0.15,-0.53,-0.7
"seagrasses",-0.35,-0.42,-0.16,-0.16,0.31,1,0.48,-0.12,0.42,-0.24,0.08,-0.24,-0.35
"mean.relief",-0.78,-0.92,0.22,0.17,0.72,0.48,1,0.12,0.92,-0.25,0.18,-0.35,-0.61
"sd.relief",-0.23,-0.08,0.16,0.07,0.02,-0.12,0.12,1,0.08,-0.06,-0.04,-0.19,-0.13
"reef",-0.77,-1,0.35,0.24,0.74,0.42,0.92,0.08,1,-0.21,0.2,-0.36,-0.59
"aspect",0.26,0.21,0.1,0.03,-0.23,-0.24,-0.25,-0.06,-0.21,1,0,0,0.27
"tpi",-0.14,-0.2,0.02,0.09,0.15,0.08,0.18,-0.04,0.2,0,1,0.05,0.05
"roughness",0.46,0.36,-0.1,0.42,-0.53,-0.24,-0.35,-0.19,-0.36,0,0.05,1,0.48
"detrended",0.76,0.59,0,0.23,-0.7,-0.35,-0.61,-0.13,-0.59,0.27,0.05,0.48,1
