"sample","longitude","latitude"
"216",114.9164,-34.0612
"235",114.9364,-34.0912
"217",114.9189,-34.0662
"215",114.9264,-34.0687
"356",114.9185,-34.0696
"218",114.9214,-34.0737
"102",114.9114,-34.0712
"100",114.9089,-34.0762
"119",114.9039,-34.0762
"101",114.8964,-34.0787
"236",114.9239,-34.0812
"237",114.9364,-34.0812
"C02",114.927902,-34.085378
"235REDO",114.9364,-34.0912
"239",114.9314,-34.0912
"91",114.8939,-34.0937
"80",114.8889,-34.0937
"81",114.8914,-34.0987
"92",114.8864,-34.0987
"210",114.8739,-34.0912
"336",114.8664,-34.0924
"195",114.8589,-34.0937
"199",114.8614,-34.0862
"16",114.8689,-34.0737
"17",114.8764,-34.0637
"34",114.8714,-34.0612
"15",114.8664,-34.0612
"223",114.8464,-34.0712
"225",114.8339,-34.0712
"222",114.8314,-34.0662
"C03.1",114.83978,-34.066438
"C03.2",114.83978,-34.066438
"226",114.8439,-34.0637
"224",114.8389,-34.0612
"220",114.8439,-34.0562
"353",114.8391,-34.0544
"201",114.8339,-34.0562
"308",114.7289,-34.1112
"333",114.7251,-34.113
"307",114.7264,-34.1187
"95",114.7339,-34.1262
"98",114.7314,-34.1337
"110",114.7289,-34.1412
"96",114.7364,-34.1362
"377",114.7589,-34.1387
"59",114.7664,-34.1412
"58",114.7739,-34.1362
"62",114.7664,-34.1337
"297",114.7489,-34.1062
"295",114.7539,-34.1037
"331",114.7501,-34.0984
"313",114.7564,-34.0962
"302",114.7239,-34.0712
"329",114.7266,-34.0648
"117",114.7389,-34.0637
"113",114.7389,-34.0587
"115",114.7364,-34.0537
"4",114.7814,-34.0912
"5",114.7764,-34.0887
"1",114.7789,-34.0787
"3",114.7839,-34.0762
"335",114.794,-34.0669
"206",114.7914,-34.0637
"204",114.7864,-34.0662
"207",114.7864,-34.0612
"312",114.7764,-34.0662
"334",114.7754,-34.0616
"310",114.7739,-34.0587
"311",114.7689,-34.0562
"J11",114.9231,-34.1178
"J12",114.9285,-34.1323
"J9",114.9161,-34.1195
"J10",114.9187,-34.1173
"J1",114.9309,-34.1286
"J2",114.9288,-34.1253
"J3",114.9259,-34.1269
"J4",114.9203,-34.1226
"J8",114.9118,-34.1294
"J6",114.9124,-34.1328
"J5",114.9158,-34.1315
"J7",114.9102,-34.1348
"J17",114.9208,-34.1321
"J14",114.9255,-34.1284
"J16",114.9065,-34.1262
"J15",114.9103,-34.125
"J13",114.9305,-34.1285
"J18",114.9241,-34.1287
"J24",114.8264,-34.1187
"J26",114.8289,-34.1209
"J25",114.8284,-34.1168
"J32",114.8611,-34.1301
"J30",114.8595,-34.1121
"J28",114.8521,-34.1129
"J29",114.8556,-34.1111
"J31",114.8607,-34.116
"J27",114.8329,-34.1218
"J19",114.9278,-34.1225
"J21",114.8174,-34.1282
"J22",114.8196,-34.1263
"J34",114.8661,-34.1313
"J36",114.8783,-34.1305
"J35",114.8693,-34.1348
"J33",114.8627,-34.1331
"J38",114.8839,-34.1279
"J37",114.8789,-34.1264
"J20",114.8202,-34.1302
"122",114.8264,-34.1162
"125",114.8264,-34.1087
"123",114.8189,-34.1062
"126",114.8189,-34.1137
"293",114.7589,-34.0887
"330",114.7545,-34.0883
"C04",114.7493,-34.0876
"291",114.7489,-34.0837
"294",114.7539,-34.0837
"148",114.925,-34.0518
"2",114.924,-34.0604
"99",114.916,-34.0555
"127",114.91,-34.0545
"43",114.909,-34.0521
"110",114.907,-34.0505
"139",114.898,-34.0616
"133",114.911,-34.075
"52",114.915,-34.0826
"91",114.928,-34.0807
"47",114.926,-34.0832
"16",114.924,-34.0848
"38",114.917,-34.0904
"71",114.908,-34.0923
"14",114.913,-34.0979
"150",114.917,-34.1
"92",114.918,-34.101
"28",114.923,-34.0995
"124",114.929,-34.1003
"53",114.92,-34.1047
"6",114.918,-34.1073
"149",114.931,-34.1135
"32",114.921,-34.1125
"116",114.919,-34.1138
"69",114.911,-34.1187
"138",114.912,-34.119
"76",114.916,-34.1217
"144",114.92,-34.1221
"5",114.93,-34.125
"107",114.94,-34.1347
"37",114.931,-34.1303
"102",114.926,-34.1305
"57",114.924,-34.1341
"24",114.923,-34.1347
"70",114.922,-34.1321
"62",114.919,-34.1281
"104",114.918,-34.1255
"30",114.915,-34.1256
"95",114.91,-34.1229
"106",114.875,-34.1313
"39",114.877,-34.1301
"140",114.882,-34.1163
"10",114.886,-34.1084
"147",114.895,-34.0908
"23",114.899,-34.0829
"Old Point",114.869122,-34.050194
"41",114.877,-34.0596
"33",114.871,-34.0742
"86",114.865,-34.0774
"56",114.873,-34.0782
"65",114.884,-34.0813
