campaignid,sample,longitude,latitude,
2020-10_south-west_BOSS,1,114.7789,-34.0787,
2020-10_south-west_BOSS,3,114.7839,-34.0762,
2020-10_south-west_BOSS,4,114.7814,-34.0912,
2020-10_south-west_BOSS,5,114.7764,-34.0887,
2020-10_south-west_BOSS,15,114.8664,-34.0612,1
2020-10_south-west_BOSS,16,114.8689,-34.0737,2
2020-10_south-west_BOSS,17,114.8764,-34.0637,3
2020-10_south-west_BOSS,34,114.8714,-34.0612,4
2020-10_south-west_BOSS,58,114.7739,-34.1362,5
2020-10_south-west_BOSS,59,114.7664,-34.1412,6
2020-10_south-west_BOSS,62,114.7664,-34.1337,7
2020-10_south-west_BOSS,80,114.8889,-34.0937,8
2020-10_south-west_BOSS,81,114.8914,-34.0987,9
2020-10_south-west_BOSS,91,114.8939,-34.0937,10
2020-10_south-west_BOSS,92,114.8864,-34.0987,11
2020-10_south-west_BOSS,95,114.7339,-34.1262,
2020-10_south-west_BOSS,96,114.7364,-34.1362,
2020-10_south-west_BOSS,98,114.7314,-34.1337,
2020-10_south-west_BOSS,100,114.9089,-34.0762,12
2020-10_south-west_BOSS,101,114.8964,-34.0787,13
2020-10_south-west_BOSS,102,114.9114,-34.0712,14
2020-10_south-west_BOSS,110,114.7289,-34.1412,
2020-10_south-west_BOSS,113,114.7389,-34.0587,
2020-10_south-west_BOSS,115,114.7364,-34.0537,
2020-10_south-west_BOSS,117,114.7389,-34.0637,
2020-10_south-west_BOSS,119,114.9039,-34.0762,15
2020-10_south-west_BOSS,122,114.8264,-34.1162,16
2020-10_south-west_BOSS,123,114.8189,-34.1062,17
2020-10_south-west_BOSS,125,114.8264,-34.1087,18
2020-10_south-west_BOSS,126,114.8189,-34.1137,19
2020-10_south-west_BOSS,195,114.8589,-34.0937,20
2020-10_south-west_BOSS,199,114.8614,-34.0862,21
2020-10_south-west_BOSS,201,114.8339,-34.0562,22
2020-10_south-west_BOSS,204,114.7864,-34.0662,
2020-10_south-west_BOSS,206,114.7914,-34.0637,
2020-10_south-west_BOSS,207,114.7864,-34.0612,
2020-10_south-west_BOSS,210,114.8739,-34.0912,23
2020-10_south-west_BOSS,215,114.9264,-34.0687,
2020-10_south-west_BOSS,216,114.9164,-34.0612,
2020-10_south-west_BOSS,217,114.9189,-34.0662,
2020-10_south-west_BOSS,218,114.9214,-34.0737,24
2020-10_south-west_BOSS,220,114.8439,-34.0562,25
2020-10_south-west_BOSS,222,114.8314,-34.0662,26
2020-10_south-west_BOSS,223,114.8464,-34.0712,27
2020-10_south-west_BOSS,224,114.8389,-34.0612,28
2020-10_south-west_BOSS,225,114.8339,-34.0712,29
2020-10_south-west_BOSS,226,114.8439,-34.0637,30
2020-10_south-west_BOSS,235,114.9364,-34.0912,
2020-10_south-west_BOSS,236,114.9239,-34.0812,31
2020-10_south-west_BOSS,237,114.9364,-34.0812,32
2020-10_south-west_BOSS,239,114.9314,-34.0912,33
2020-10_south-west_BOSS,291,114.7489,-34.0837,34
2020-10_south-west_BOSS,293,114.7589,-34.0887,35
2020-10_south-west_BOSS,294,114.7539,-34.0837,36
2020-10_south-west_BOSS,295,114.7539,-34.1037,37
2020-10_south-west_BOSS,297,114.7489,-34.1062,
2020-10_south-west_BOSS,302,114.7239,-34.0712,
2020-10_south-west_BOSS,307,114.7264,-34.1187,38
2020-10_south-west_BOSS,308,114.7289,-34.1112,
2020-10_south-west_BOSS,310,114.7739,-34.0587,
2020-10_south-west_BOSS,311,114.7689,-34.0562,
2020-10_south-west_BOSS,312,114.7764,-34.0662,
2020-10_south-west_BOSS,313,114.7564,-34.0962,
2020-10_south-west_BOSS,329,114.7266,-34.0648,
2020-10_south-west_BOSS,330,114.7545,-34.0883,39
2020-10_south-west_BOSS,331,114.7501,-34.0984,
2020-10_south-west_BOSS,333,114.7251,-34.113,
