sample,longitude,latitude,,
1,114.930865,-34.128599,,
2,114.928838,-34.125316,,
3,114.925945,-34.126906,,
4,114.920337,-34.122634,,
5,114.915753,-34.131497,,
6,114.912405,-34.132842,,
7,114.910241,-34.134771,,
8,114.911755,-34.129352,,
9,114.916105,-34.119541,,
10,114.918685,-34.117294,,
11,114.92306,-34.117752,,
12,114.928545,-34.132262,,
13,114.930547,-34.128506,,
14,114.925457,-34.128381,,
15,114.91032,-34.125012,,
16,114.906548,-34.126181,,
17,114.92083,-34.132142,,
18,114.924078,-34.128679,,
20,114.820233,-34.130219,,
21,114.817448,-34.128151,,
22,114.819552,-34.126271,,
23,114.817017,-34.124217,,
24,114.826402,-34.118739,,
25,114.828432,-34.116829,,
26,114.828907,-34.120881,,
27,114.832898,-34.121824,,
28,114.852137,-34.112916,,
29,114.855648,-34.111084,,
30,114.85946,-34.112094,,
31,114.860738,-34.116007,,
32,114.86109,-34.130076,,
33,114.8627,-34.133067,,
34,114.866053,-34.131334,,
35,114.869348,-34.134801,,
36,114.878263,-34.130484,,
37,114.878937,-34.126354,,
38,114.883938,-34.127912,,
39,114.884797,-34.132294,,
40,114.880443,-34.133669,,
IO1,114.7788721,-34.07868897,,
IO100,114.9088721,-34.07618897,,
IO101,114.8963721,-34.07868897,,
IO102,114.9113721,-34.07118897,,
IO110,114.7288721,-34.14118897,,
IO113,114.7388721,-34.05868897,,
IO115,114.7363721,-34.05368897,,
IO117,114.7388721,-34.06368897,,
IO119,114.9038721,-34.07618897,,
IO122,114.8263721,-34.11618897,,
IO123,114.8188721,-34.10618897,,
IO125,114.8263721,-34.10868897,,
IO126,114.8188721,-34.11368897,,
IO15,114.8663721,-34.06118897,,
IO16,114.8688721,-34.07368897,,
IO17,114.8763721,-34.06368897,,
IO195,114.8588721,-34.09368897,,
IO199,114.8613721,-34.08618897,,
IO201,114.8338721,-34.05618897,,
IO204,114.7863721,-34.06618897,,
IO206,114.7913721,-34.06368897,,
IO207,114.7863721,-34.06118897,,
IO210,114.8738721,-34.09118897,,
IO211,114.9063721,-34.05618897,,
IO216,114.9163721,-34.06118897,,
IO217,114.9188721,-34.06618897,,
IO218,114.9213721,-34.07368897,,
IO220,114.8438721,-34.05618897,,
IO222,114.8313721,-34.06618897,,
IO223,114.8463721,-34.07118897,,
IO224,114.8388721,-34.06118897,,
IO225,114.8338721,-34.07118897,,
IO226,114.8438721,-34.06368897,,
IO235,114.9138721,-34.06618897,,
IO236,114.9238721,-34.08118897,,
IO237,114.9363721,-34.08118897,,
IO239,114.9313721,-34.09118897,,
IO291,114.7488721,-34.08368897,,
IO293,114.7588721,-34.08868897,,
IO294,114.7538721,-34.08368897,,
IO295,114.7538721,-34.10368897,,
IO297,114.7488721,-34.10618897,,
IO3,114.7838721,-34.07618897,,
IO302,114.7238721,-34.07118897,,
IO306,114.7338721,-34.10118897,,
IO307,114.7263721,-34.11868897,,
IO308,114.7288721,-34.11118897,,
IO310,114.7738721,-34.05868897,,
IO311,114.7688721,-34.05618897,,
IO312,114.7788721,-34.05868897,,
IO313,114.7563721,-34.09618897,,
IO319,114.7313721,-34.09368897,,
IO329,114.7266333,-34.06481667,,
IO330,114.7545,-34.08833333,,
IO331,114.75005,-34.0984,,
IO332,114.7344833,-34.09718333,,
IO333,114.7251333,-34.11301667,,
IO334,114.7753667,-34.06155,,
IO335,114.7939833,-34.06686667,,
IO336,114.8663667,-34.0924,,
IO34,114.8713721,-34.06118897,,
IO353,114.8390667,-34.05436667,,
IO354,114.84,-34.06605,,
IO355,114.9111,-34.05473333,,
IO356,114.9184667,-34.06956667,,
IO357,114.928,-34.08496667,,
IO377,114.7588721,-34.13868897,,
IO4,114.7813721,-34.09118897,,
IO5,114.7763721,-34.08868897,,
IO58,114.7738721,-34.13618897,,
IO59,114.7663721,-34.14118897,,
IO62,114.7663721,-34.13368897,,
IO80,114.8888721,-34.09368897,,
IO81,114.8913721,-34.09868897,,
IO91,114.8938721,-34.09368897,,
IO92,114.8863721,-34.09868897,,
IO95,114.7338721,-34.12618897,,
IO96,114.7363721,-34.13618897,,
IO98,114.7313721,-34.13368897,,
IOC04,114.749265,-34.08755,,
IOC05,114.899843,-34.05394,,
IO215,114.9263721,-34.06868897,,
