"campaignid","sample","longitude","latitude"
"2020-06_south-west_stereo-BRUVs","01",114.930865,-34.128599
"2020-06_south-west_stereo-BRUVs","02",114.928838,-34.125316
"2020-06_south-west_stereo-BRUVs","03",114.925945,-34.126906
"2020-06_south-west_stereo-BRUVs","04",114.920337,-34.122634
"2020-06_south-west_stereo-BRUVs","05",114.915753,-34.131497
"2020-06_south-west_stereo-BRUVs","06",114.912405,-34.132842
"2020-06_south-west_stereo-BRUVs","07",114.910241,-34.134771
"2020-06_south-west_stereo-BRUVs","08",114.911755,-34.129352
"2020-06_south-west_stereo-BRUVs","09",114.916105,-34.119541
"2020-06_south-west_stereo-BRUVs","10",114.918685,-34.117294
"2020-06_south-west_stereo-BRUVs","11",114.92306,-34.117752
"2020-06_south-west_stereo-BRUVs","12",114.928545,-34.132262
"2020-06_south-west_stereo-BRUVs","13",114.930547,-34.128506
"2020-06_south-west_stereo-BRUVs","14",114.925457,-34.128381
"2020-06_south-west_stereo-BRUVs","15",114.91032,-34.125012
"2020-06_south-west_stereo-BRUVs","16",114.906548,-34.126181
"2020-06_south-west_stereo-BRUVs","17",114.92083,-34.132142
"2020-06_south-west_stereo-BRUVs","18",114.924078,-34.128679
"2020-06_south-west_stereo-BRUVs","20",114.820233,-34.130219
"2020-06_south-west_stereo-BRUVs","21",114.817448,-34.128151
"2020-06_south-west_stereo-BRUVs","22",114.819552,-34.126271
"2020-06_south-west_stereo-BRUVs","23",114.817017,-34.124217
"2020-06_south-west_stereo-BRUVs","24",114.826402,-34.118739
"2020-06_south-west_stereo-BRUVs","25",114.828432,-34.116829
"2020-06_south-west_stereo-BRUVs","26",114.828907,-34.120881
"2020-06_south-west_stereo-BRUVs","27",114.832898,-34.121824
"2020-06_south-west_stereo-BRUVs","28",114.852137,-34.112916
"2020-06_south-west_stereo-BRUVs","29",114.855648,-34.111084
"2020-06_south-west_stereo-BRUVs","30",114.85946,-34.112094
"2020-06_south-west_stereo-BRUVs","31",114.860738,-34.116007
"2020-06_south-west_stereo-BRUVs","32",114.86109,-34.130076
"2020-06_south-west_stereo-BRUVs","33",114.8627,-34.133067
"2020-06_south-west_stereo-BRUVs","34",114.866053,-34.131334
"2020-06_south-west_stereo-BRUVs","35",114.869348,-34.134801
"2020-06_south-west_stereo-BRUVs","36",114.878263,-34.130484
"2020-06_south-west_stereo-BRUVs","37",114.878937,-34.126354
"2020-06_south-west_stereo-BRUVs","38",114.883938,-34.127912
"2020-06_south-west_stereo-BRUVs","39",114.884797,-34.132294
"2020-06_south-west_stereo-BRUVs","40",114.880443,-34.133669
"2020-10_south-west_stereo-BRUVs","IO1",114.7788721,-34.07868897
"2020-10_south-west_stereo-BRUVs","IO100",114.9088721,-34.07618897
"2020-10_south-west_stereo-BRUVs","IO101",114.8963721,-34.07868897
"2020-10_south-west_stereo-BRUVs","IO102",114.9113721,-34.07118897
"2020-10_south-west_stereo-BRUVs","IO110",114.7288721,-34.14118897
"2020-10_south-west_stereo-BRUVs","IO113",114.7388721,-34.05868897
"2020-10_south-west_stereo-BRUVs","IO115",114.7363721,-34.05368897
"2020-10_south-west_stereo-BRUVs","IO117",114.7388721,-34.06368897
"2020-10_south-west_stereo-BRUVs","IO119",114.9038721,-34.07618897
"2020-10_south-west_stereo-BRUVs","IO122",114.8263721,-34.11618897
"2020-10_south-west_stereo-BRUVs","IO123",114.8188721,-34.10618897
"2020-10_south-west_stereo-BRUVs","IO125",114.8263721,-34.10868897
