"id","sample","latitude","longitude"
"2020-10_south-west_BOSS.1","1",-34.0787,114.7789
"2020-10_south-west_BOSS.110","110",-34.1412,114.7289
"2020-10_south-west_BOSS.113","113",-34.0587,114.7389
"2020-10_south-west_BOSS.115","115",-34.0537,114.7364
"2020-10_south-west_BOSS.117","117",-34.0637,114.7389
"2020-10_south-west_BOSS.204","204",-34.0662,114.7864
"2020-10_south-west_BOSS.206","206",-34.0637,114.7914
"2020-10_south-west_BOSS.207","207",-34.0612,114.7864
"2020-10_south-west_BOSS.215","215",-34.0687,114.9264
"2020-10_south-west_BOSS.216","216",-34.0612,114.9164
"2020-10_south-west_BOSS.217","217",-34.0662,114.9189
"2020-10_south-west_BOSS.235","235",-34.0912,114.9364
"2020-10_south-west_BOSS.295","295",-34.1037,114.7539
"2020-10_south-west_BOSS.297","297",-34.1062,114.7489
"2020-10_south-west_BOSS.3","3",-34.0762,114.7839
"2020-10_south-west_BOSS.302","302",-34.0712,114.7239
"2020-10_south-west_BOSS.307","307",-34.1187,114.7264
"2020-10_south-west_BOSS.308","308",-34.1112,114.7289
"2020-10_south-west_BOSS.310","310",-34.0587,114.7739
"2020-10_south-west_BOSS.311","311",-34.0562,114.7689
"2020-10_south-west_BOSS.312","312",-34.0662,114.7764
"2020-10_south-west_BOSS.313","313",-34.0962,114.7564
"2020-10_south-west_BOSS.329","329",-34.0648,114.7266
"2020-10_south-west_BOSS.331","331",-34.0984,114.7501
"2020-10_south-west_BOSS.333","333",-34.113,114.7251
"2020-10_south-west_BOSS.334","334",-34.0616,114.7754
"2020-10_south-west_BOSS.335","335",-34.0669,114.794
"2020-10_south-west_BOSS.356","356",-34.0696,114.9185
"2020-10_south-west_BOSS.377","377",-34.1387,114.7589
"2020-10_south-west_BOSS.4","4",-34.0912,114.7814
"2020-10_south-west_BOSS.5","5",-34.0887,114.7764
"2020-10_south-west_BOSS.58","58",-34.1362,114.7739
"2020-10_south-west_BOSS.59","59",-34.1412,114.7664
"2020-10_south-west_BOSS.62","62",-34.1337,114.7664
"2020-10_south-west_BOSS.95","95",-34.1262,114.7339
"2020-10_south-west_BOSS.96","96",-34.1362,114.7364
"2020-10_south-west_BOSS.98","98",-34.1337,114.7314
"2020-10_south-west_BOSS.J1","J1",-34.1286,114.9309
"2020-10_south-west_BOSS.J10","J10",-34.1173,114.9187
"2020-10_south-west_BOSS.J11","J11",-34.1178,114.9231
"2020-10_south-west_BOSS.J12","J12",-34.1323,114.9285
"2020-10_south-west_BOSS.J13","J13",-34.1285,114.9305
"2020-10_south-west_BOSS.J14","J14",-34.1284,114.9255
"2020-10_south-west_BOSS.J15","J15",-34.125,114.9103
"2020-10_south-west_BOSS.J16","J16",-34.1262,114.9065
"2020-10_south-west_BOSS.J17","J17",-34.1321,114.9208
"2020-10_south-west_BOSS.J18","J18",-34.1287,114.9241
"2020-10_south-west_BOSS.J2","J2",-34.1253,114.9288
"2020-10_south-west_BOSS.J24","J24",-34.1187,114.8264
"2020-10_south-west_BOSS.J25","J25",-34.1168,114.8284
"2020-10_south-west_BOSS.J26","J26",-34.1209,114.8289
"2020-10_south-west_BOSS.J27","J27",-34.1218,114.8329
"2020-10_south-west_BOSS.J28","J28",-34.1129,114.8521
"2020-10_south-west_BOSS.J29","J29",-34.1111,114.8556
"2020-10_south-west_BOSS.J3","J3",-34.1269,114.9259
"2020-10_south-west_BOSS.J30","J30",-34.1121,114.8595
"2020-10_south-west_BOSS.J31","J31",-34.116,114.8607
"2020-10_south-west_BOSS.J32","J32",-34.1301,114.8611
"2020-10_south-west_BOSS.J4","J4",-34.1226,114.9203
"2020-10_south-west_BOSS.J5","J5",-34.1315,114.9158
"2020-10_south-west_BOSS.J6","J6",-34.1328,114.9124
"2020-10_south-west_BOSS.J7","J7",-34.1348,114.9102
"2020-10_south-west_BOSS.J8","J8",-34.1294,114.9118
"2020-10_south-west_BOSS.J9","J9",-34.1195,114.9161
"2021-03_West-Coast_BOSS.1","1",-34.1318,114.853
"2021-03_West-Coast_BOSS.10","10",-34.1084,114.886
"2021-03_West-Coast_BOSS.100","100",-34.0961,114.847
"2021-03_West-Coast_BOSS.101","101",-34.0917,114.782
"2021-03_West-Coast_BOSS.102","102",-34.1305,114.926
"2021-03_West-Coast_BOSS.103","103",-34.0866,114.774
"2021-03_West-Coast_BOSS.104","104",-34.1255,114.918
"2021-03_West-Coast_BOSS.105","105",-34.0534,114.76
"2021-03_West-Coast_BOSS.106","106",-34.1313,114.875
"2021-03_West-Coast_BOSS.107","107",-34.1347,114.94
"2021-03_West-Coast_BOSS.108","108",-34.1001,114.85
"2021-03_West-Coast_BOSS.109","109",-34.0839,114.741
"2021-03_West-Coast_BOSS.11","11",-34.1163,114.775
"2021-03_West-Coast_BOSS.110","110",-34.0505,114.907
"2021-03_West-Coast_BOSS.111","111",-34.1035,114.812
"2021-03_West-Coast_BOSS.112","112",-34.0897,114.779
"2021-03_West-Coast_BOSS.113","113",-34.0809,114.78
"2021-03_West-Coast_BOSS.114","114",-34.0969,114.834
"2021-03_West-Coast_BOSS.115","115",-34.1013,114.774
"2021-03_West-Coast_BOSS.116","116",-34.1138,114.919
"2021-03_West-Coast_BOSS.117","117",-34.0681,114.76
"2021-03_West-Coast_BOSS.118","118",-34.0714,114.826
"2021-03_West-Coast_BOSS.119","119",-34.0634,114.771
"2021-03_West-Coast_BOSS.12","12",-34.0901,114.783
"2021-03_West-Coast_BOSS.120","120",-34.0617,114.861
"2021-03_West-Coast_BOSS.121","121",-34.0836,114.853
"2021-03_West-Coast_BOSS.122","122",-34.0789,114.777
"2021-03_West-Coast_BOSS.123","123",-34.0614,114.785
"2021-03_West-Coast_BOSS.124","124",-34.1003,114.929
"2021-03_West-Coast_BOSS.125","125",-34.104,114.847
"2021-03_West-Coast_BOSS.126","126",-34.0912,114.87
"2021-03_West-Coast_BOSS.127","127",-34.0545,114.91
"2021-03_West-Coast_BOSS.128","128",-34.0694,114.823
"2021-03_West-Coast_BOSS.129","129",-34.0839,114.772
"2021-03_West-Coast_BOSS.13","13",-34.051,114.813
"2021-03_West-Coast_BOSS.130","130",-34.1213,114.83
"2021-03_West-Coast_BOSS.131","131",-34.0906,114.773
"2021-03_West-Coast_BOSS.132","132",-34.1162,114.808
"2021-03_West-Coast_BOSS.133","133",-34.075,114.911
"2021-03_West-Coast_BOSS.134","134",-34.0631,114.857
"2021-03_West-Coast_BOSS.135","135",-34.0516,114.77
"2021-03_West-Coast_BOSS.136","136",-34.0891,114.833
"2021-03_West-Coast_BOSS.137","137",-34.0854,114.877
"2021-03_West-Coast_BOSS.138","138",-34.119,114.912
"2021-03_West-Coast_BOSS.139","139",-34.0616,114.898
"2021-03_West-Coast_BOSS.14","14",-34.0979,114.913
"2021-03_West-Coast_BOSS.140","140",-34.1163,114.882
"2021-03_West-Coast_BOSS.141","141",-34.1175,114.762
"2021-03_West-Coast_BOSS.142","142",-34.0971,114.814
"2021-03_West-Coast_BOSS.143","143",-34.0833,114.776
"2021-03_West-Coast_BOSS.144","144",-34.1221,114.92
"2021-03_West-Coast_BOSS.145","145",-34.0891,114.732
"2021-03_West-Coast_BOSS.146","146",-34.1099,114.79
"2021-03_West-Coast_BOSS.147","147",-34.0908,114.895
"2021-03_West-Coast_BOSS.148","148",-34.0518,114.925
"2021-03_West-Coast_BOSS.149","149",-34.1135,114.931
"2021-03_West-Coast_BOSS.15","15",-34.0656,114.769
"2021-03_West-Coast_BOSS.150","150",-34.1,114.917
"2021-03_West-Coast_BOSS.16","16",-34.0848,114.924
"2021-03_West-Coast_BOSS.17","17",-34.0742,114.757
"2021-03_West-Coast_BOSS.18","18",-34.1078,114.787
"2021-03_West-Coast_BOSS.19","19",-34.0802,114.806
"2021-03_West-Coast_BOSS.2","2",-34.0604,114.924
"2021-03_West-Coast_BOSS.20","20",-34.1018,114.784
"2021-03_West-Coast_BOSS.21","21",-34.1285,114.797
"2021-03_West-Coast_BOSS.22","22",-34.1033,114.745
"2021-03_West-Coast_BOSS.23","23",-34.0829,114.899
"2021-03_West-Coast_BOSS.24","24",-34.1347,114.923
"2021-03_West-Coast_BOSS.25","25",-34.0626,114.765
"2021-03_West-Coast_BOSS.26","26",-34.1003,114.844
"2021-03_West-Coast_BOSS.27","27",-34.0521,114.789
"2021-03_West-Coast_BOSS.28","28",-34.0995,114.923
"2021-03_West-Coast_BOSS.29","29",-34.1266,114.784
"2021-03_West-Coast_BOSS.3","3",-34.0789,114.851
"2021-03_West-Coast_BOSS.30","30",-34.1256,114.915
"2021-03_West-Coast_BOSS.31","31",-34.061,114.806
"2021-03_West-Coast_BOSS.32","32",-34.1125,114.921
"2021-03_West-Coast_BOSS.33","33",-34.0742,114.871
"2021-03_West-Coast_BOSS.34","34",-34.0829,114.798
"2021-03_West-Coast_BOSS.35","35",-34.0959,114.852
"2021-03_West-Coast_BOSS.36","36",-34.1317,114.822
"2021-03_West-Coast_BOSS.37","37",-34.1303,114.931
"2021-03_West-Coast_BOSS.38","38",-34.0904,114.917
"2021-03_West-Coast_BOSS.39","39",-34.1301,114.877
"2021-03_West-Coast_BOSS.4","4",-34.0862,114.785
"2021-03_West-Coast_BOSS.40","40",-34.0784,114.754
"2021-03_West-Coast_BOSS.41","41",-34.0596,114.877
"2021-03_West-Coast_BOSS.42","42",-34.106,114.781
"2021-03_West-Coast_BOSS.43","43",-34.0521,114.909
"2021-03_West-Coast_BOSS.44","44",-34.0931,114.858
"2021-03_West-Coast_BOSS.45","45",-34.0816,114.771
"2021-03_West-Coast_BOSS.46","46",-34.119,114.831
"2021-03_West-Coast_BOSS.47","47",-34.0832,114.926
"2021-03_West-Coast_BOSS.48","48",-34.0891,114.882
"2021-03_West-Coast_BOSS.49","49",-34.103,114.762
"2021-03_West-Coast_BOSS.5","5",-34.125,114.93
"2021-03_West-Coast_BOSS.50","50",-34.1143,114.842
"2021-03_West-Coast_BOSS.51","51",-34.0709,114.814
"2021-03_West-Coast_BOSS.52","52",-34.0826,114.915
